Date,Country,City,Specie,count,min,max,median,variance
1/3/2016,IN,Bengaluru,pm10,34,18,155,71,7434.83
1/3/2016,IN,Bengaluru,o3,51,1.7,40.7,17.5,1756.39
1/3/2016,IN,Bengaluru,so2,85,0.5,11,1.3,125.45
1/3/2016,IN,Bengaluru,pm25,68,38,178,145,18316.8
1/3/2016,IN,Bengaluru,no2,102,1.5,100.5,26.4,6172.39
1/3/2016,IN,Bengaluru,co,102,0.4,37.6,5.1,604.8
1/4/2016,IN,Bengaluru,pm10,48,40,125,73,2840.57
1/4/2016,IN,Bengaluru,o3,72,1.7,39.8,18.3,1220.67
1/4/2016,IN,Bengaluru,so2,128,0.4,11.8,1.3,136.46
1/4/2016,IN,Bengaluru,pm25,96,43,178,152,8964.52
1/4/2016,IN,Bengaluru,no2,144,0.8,92.2,24.2,4191.75
1/4/2016,IN,Bengaluru,co,144,0.2,31.1,5.8,397.67
1/5/2016,IN,Bengaluru,pm10,48,30,146,73,4449.04
1/5/2016,IN,Bengaluru,o3,72,2.5,33.8,15.9,775.4
1/5/2016,IN,Bengaluru,so2,144,0.5,13,1.7,155.37
1/5/2016,IN,Bengaluru,pm25,96,63,190,157,8205.05
1/5/2016,IN,Bengaluru,no2,144,1.1,102.7,23.1,5599.83
1/5/2016,IN,Bengaluru,co,142,0.2,38.4,5.3,379.56
1/6/2016,IN,Bengaluru,pm10,39,3,140,66,7369.19
1/6/2016,IN,Bengaluru,o3,62,1.7,37.4,13.9,1117.23
1/6/2016,IN,Bengaluru,so2,125,0.3,36.1,1.7,372.41
1/6/2016,IN,Bengaluru,pm25,86,55,188,156,10858.8
1/6/2016,IN,Bengaluru,no2,126,1.1,82,21.6,3506.89
1/6/2016,IN,Bengaluru,co,119,0.2,24.3,7.5,435.27
1/7/2016,IN,Bengaluru,pm10,24,13,95,58,3346.5
1/7/2016,IN,Bengaluru,o3,50,2.5,24.4,13,279.41
1/7/2016,IN,Bengaluru,so2,97,0.1,53.3,1.3,1632.36
1/7/2016,IN,Bengaluru,pm25,73,58,196,155,6276.6
1/7/2016,IN,Bengaluru,no2,97,0.8,58.4,15.4,2063.1
1/7/2016,IN,Bengaluru,co,87,0.8,29,8,674.6
1/8/2016,IN,Bengaluru,pm10,25,22,83,51,2892.07
1/8/2016,IN,Bengaluru,o3,57,0.5,13,2.9,65.3
1/8/2016,IN,Bengaluru,so2,99,0.5,30.3,1.3,497.83
1/8/2016,IN,Bengaluru,pm25,74,75,787,153,83527.9
1/8/2016,IN,Bengaluru,no2,101,2.2,88.9,17.2,1814.38
1/8/2016,IN,Bengaluru,co,98,1.1,37.6,6.4,363.72
1/9/2016,IN,Bengaluru,pm10,24,19,83,59,3284.76
