Date,Country,City,Specie,Value
1/3/2016,IN,Kolkata,pm25,380.7
1/4/2016,IN,Kolkata,pm25,314.3
1/5/2016,IN,Kolkata,pm25,358.7
1/6/2016,IN,Kolkata,pm25,368.3
1/7/2016,IN,Kolkata,pm25,428.7
1/8/2016,IN,Kolkata,pm25,239.3
1/9/2016,IN,Kolkata,pm25,223.3
1/10/2016,IN,Kolkata,pm25,222.3
1/11/2016,IN,Kolkata,pm25,234.0
1/12/2016,IN,Kolkata,pm25,263.0
1/13/2016,IN,Kolkata,pm25,313.3
1/14/2016,IN,Kolkata,pm25,275.3
1/15/2016,IN,Kolkata,pm25,230.3
1/16/2016,IN,Kolkata,pm25,202.0
1/17/2016,IN,Kolkata,pm25,235.7
1/18/2016,IN,Kolkata,pm25,230.0
1/19/2016,IN,Kolkata,pm25,230.3
1/20/2016,IN,Kolkata,pm25,220.7
1/21/2016,IN,Kolkata,pm25,191.0
1/22/2016,IN,Kolkata,pm25,194.7
1/23/2016,IN,Kolkata,pm25,215.7
1/24/2016,IN,Kolkata,pm25,222.3
1/25/2016,IN,Kolkata,pm25,274.3
1/26/2016,IN,Kolkata,pm25,275.0
1/27/2016,IN,Kolkata,pm25,261.3
1/28/2016,IN,Kolkata,pm25,232.7
1/29/2016,IN,Kolkata,pm25,237.3
1/30/2016,IN,Kolkata,pm25,236.0
1/31/2016,IN,Kolkata,pm25,211.3
2/1/2016,IN,Kolkata,pm25,297.0
2/2/2016,IN,Kolkata,pm25,189.7
2/3/2016,IN,Kolkata,pm25,207.3
2/4/2016,IN,Kolkata,pm25,196.3
2/5/2016,IN,Kolkata,pm25,203.7
2/6/2016,IN,Kolkata,pm25,264.0
2/7/2016,IN,Kolkata,pm25,308.3
2/8/2016,IN,Kolkata,pm25,253.0
2/9/2016,IN,Kolkata,pm25,218.7
2/10/2016,IN,Kolkata,pm25,298.7
2/11/2016,IN,Kolkata,pm25,176.3
2/12/2016,IN,Kolkata,pm25,164.3
2/13/2016,IN,Kolkata,pm25,211.7
2/14/2016,IN,Kolkata,pm25,153.7
2/15/2016,IN,Kolkata,pm25,161.7
2/16/2016,IN,Kolkata,pm25,180.3
2/17/2016,IN,Kolkata,pm25,192.7
2/18/2016,IN,Kolkata,pm25,180.0
2/19/2016,IN,Kolkata,pm25,166.0
2/20/2016,IN,Kolkata,pm25,166.3
2/21/2016,IN,Kolkata,pm25,169.7
2/22/2016,IN,Kolkata,pm25,163.7
2/23/2016,IN,Kolkata,pm25,184.0
2/24/2016,IN,Kolkata,pm25,132.0
2/25/2016,IN,Kolkata,pm25,100.3
2/26/2016,IN,Kolkata,pm25,135.0
2/27/2016,IN,Kolkata,pm25,145.0
2/29/2016,IN,Kolkata,pm25,165.7
3/1/2016,IN,Kolkata,pm25,144.3
3/2/2016,IN,Kolkata,pm25,131.7
3/3/2016,IN,Kolkata,pm25,138.7
3/4/2016,IN,Kolkata,pm25,140.0
3/5/2016,IN,Kolkata,pm25,152.3
3/6/2016,IN,Kolkata,pm25,169.0
3/7/2016,IN,Kolkata,pm25,169.0
3/8/2016,IN,Kolkata,pm25,151.7
3/9/2016,IN,Kolkata,pm25,149.0
3/10/2016,IN,Kolkata,pm25,161.7
3/11/2016,IN,Kolkata,pm25,175.3
3/12/2016,IN,Kolkata,pm25,171.7
3/13/2016,IN,Kolkata,pm25,147.0
3/14/2016,IN,Kolkata,pm25,168.3
3/15/2016,IN,Kolkata,pm25,163.3
3/16/2016,IN,Kolkata,pm25,159.0
3/17/2016,IN,Kolkata,pm25,159.7
3/18/2016,IN,Kolkata,pm25,162.7
3/21/2016,IN,Kolkata,pm25,158.0
3/22/2016,IN,Kolkata,pm25,152.0
3/23/2016,IN,Kolkata,pm25,160.0
3/24/2016,IN,Kolkata,pm25,175.7
3/25/2016,IN,Kolkata,pm25,151.0
3/26/2016,IN,Kolkata,pm25,142.7
3/27/2016,IN,Kolkata,pm25,133.0
3/28/2016,IN,Kolkata,pm25,144.7
3/29/2016,IN,Kolkata,pm25,151.3
3/30/2016,IN,Kolkata,pm25,130.0
3/31/2016,IN,Kolkata,pm25,108.7
4/1/2016,IN,Kolkata,pm25,93.3
4/2/2016,IN,Kolkata,pm25,96.3
4/3/2016,IN,Kolkata,pm25,96.7
4/4/2016,IN,Kolkata,pm25,106.0
4/5/2016,IN,Kolkata,pm25,108.0
4/6/2016,IN,Kolkata,pm25,138.0
4/7/2016,IN,Kolkata,pm25,145.7
4/8/2016,IN,Kolkata,pm25,136.7
4/9/2016,IN,Kolkata,pm25,116.3
