Date,Country,City,Specie,count,min,max,median,variance
1/3/2016,IN,Kolkata,pm25,17,277,552,313,95295.2
1/4/2016,IN,Kolkata,pm25,24,216,411,316,38088
1/5/2016,IN,Kolkata,pm25,21,277,482,317,34862.3
1/6/2016,IN,Kolkata,pm25,24,250,502,353,54364.8
1/7/2016,IN,Kolkata,pm25,23,304,578,404,67035.4
1/8/2016,IN,Kolkata,pm25,24,181,334,203,26585.8
1/9/2016,IN,Kolkata,pm25,24,173,303,194,15270.1
1/10/2016,IN,Kolkata,pm25,24,166,303,198,13719.5
1/11/2016,IN,Kolkata,pm25,24,164,349,189,25204.8
1/12/2016,IN,Kolkata,pm25,24,175,373,241,34887.8
1/13/2016,IN,Kolkata,pm25,23,183,460,297,56694.9
1/14/2016,IN,Kolkata,pm25,23,191,368,267,28471.5
1/15/2016,IN,Kolkata,pm25,24,159,342,190,21672.4
1/16/2016,IN,Kolkata,pm25,24,175,241,190,3924.33
1/17/2016,IN,Kolkata,pm25,24,189,295,223,11551.7
1/18/2016,IN,Kolkata,pm25,24,177,313,200,28035.2
1/19/2016,IN,Kolkata,pm25,24,182,288,221,11373
1/20/2016,IN,Kolkata,pm25,24,180,262,220,5338.19
1/21/2016,IN,Kolkata,pm25,24,166,218,189,1883.32
1/22/2016,IN,Kolkata,pm25,24,167,228,189,2686.01
1/23/2016,IN,Kolkata,pm25,24,173,277,197,7926.96
1/24/2016,IN,Kolkata,pm25,24,178,264,225,8393.02
1/25/2016,IN,Kolkata,pm25,23,173,381,269,30890.6
1/26/2016,IN,Kolkata,pm25,23,183,402,240,35991.8
1/27/2016,IN,Kolkata,pm25,24,182,363,239,31855.2
1/28/2016,IN,Kolkata,pm25,24,183,291,224,13844.9
1/29/2016,IN,Kolkata,pm25,23,179,297,236,13151.5
1/30/2016,IN,Kolkata,pm25,24,174,321,213,23650.1
1/31/2016,IN,Kolkata,pm25,23,158,301,175,10844.5
2/1/2016,IN,Kolkata,pm25,24,154,498,239,69346.3
2/2/2016,IN,Kolkata,pm25,24,165,229,175,2212.97
2/3/2016,IN,Kolkata,pm25,24,168,266,188,10090.9
2/4/2016,IN,Kolkata,pm25,24,163,239,187,5953.03
2/5/2016,IN,Kolkata,pm25,24,171,256,184,5292.97
2/6/2016,IN,Kolkata,pm25,24,186,357,249,18559.1
2/7/2016,IN,Kolkata,pm25,24,212,448,265,38320.7
2/8/2016,IN,Kolkata,pm25,24,163,410,186,64445.6
2/9/2016,IN,Kolkata,pm25,24,165,307,184,13727.4
2/10/2016,IN,Kolkata,pm25,24,198,437,261,37798.2
2/11/2016,IN,Kolkata,pm25,22,134,236,159,6172.99
2/12/2016,IN,Kolkata,pm25,24,102,237,154,16304.3
2/13/2016,IN,Kolkata,pm25,24,171,267,197,7873.04
2/14/2016,IN,Kolkata,pm25,23,129,179,153,1500.67
2/15/2016,IN,Kolkata,pm25,23,122,198,165,3643.52
2/16/2016,IN,Kolkata,pm25,24,144,225,172,3910.27
2/17/2016,IN,Kolkata,pm25,24,157,246,175,5903.89
2/18/2016,IN,Kolkata,pm25,24,156,217,167,1771.88
2/19/2016,IN,Kolkata,pm25,24,155,183,160,446.36
2/20/2016,IN,Kolkata,pm25,24,152,185,162,1098.19
2/21/2016,IN,Kolkata,pm25,24,152,189,168,1160.58
2/22/2016,IN,Kolkata,pm25,24,144,178,169,735.87
2/23/2016,IN,Kolkata,pm25,24,158,216,178,1972.1
2/24/2016,IN,Kolkata,pm25,24,89,198,109,10257.3
2/25/2016,IN,Kolkata,pm25,24,59,151,91,5394.49
2/26/2016,IN,Kolkata,pm25,24,87,171,147,4746.79
2/27/2016,IN,Kolkata,pm25,23,97,185,153,3696.32
2/29/2016,IN,Kolkata,pm25,8,158,179,160,774.11
3/1/2016,IN,Kolkata,pm25,24,107,173,153,2435.36
3/2/2016,IN,Kolkata,pm25,24,104,157,134,1843.41
3/3/2016,IN,Kolkata,pm25,24,114,170,132,3555
3/4/2016,IN,Kolkata,pm25,23,97,171,152,3731.46
3/5/2016,IN,Kolkata,pm25,23,112,187,158,4517.11
3/6/2016,IN,Kolkata,pm25,24,139,194,174,1995.63
3/7/2016,IN,Kolkata,pm25,24,134,194,179,2870.71
3/8/2016,IN,Kolkata,pm25,24,119,178,158,2611.88
3/9/2016,IN,Kolkata,pm25,24,117,172,158,2467.75
3/10/2016,IN,Kolkata,pm25,24,127,197,161,2627.83
3/11/2016,IN,Kolkata,pm25,24,157,196,173,1129.78
3/12/2016,IN,Kolkata,pm25,24,152,192,171,1236.74
3/13/2016,IN,Kolkata,pm25,24,112,182,147,3676.5
3/14/2016,IN,Kolkata,pm25,24,134,199,172,3486.36
3/15/2016,IN,Kolkata,pm25,23,127,194,169,3168.77
3/16/2016,IN,Kolkata,pm25,21,149,170,158,264.62
3/17/2016,IN,Kolkata,pm25,14,117,209,153,5344.4
3/18/2016,IN,Kolkata,pm25,24,129,194,165,3201.96
3/21/2016,IN,Kolkata,pm25,13,147,169,158,410.64
3/22/2016,IN,Kolkata,pm25,23,122,174,160,1539.05
3/23/2016,IN,Kolkata,pm25,23,129,185,166,3035.89
3/24/2016,IN,Kolkata,pm25,24,155,204,168,1543.7
3/25/2016,IN,Kolkata,pm25,24,139,160,154,231.72
3/26/2016,IN,Kolkata,pm25,24,127,159,142,833.9
3/27/2016,IN,Kolkata,pm25,22,107,160,132,2614.74
3/28/2016,IN,Kolkata,pm25,23,107,174,153,3267.15
3/29/2016,IN,Kolkata,pm25,23,137,161,156,365.14
3/30/2016,IN,Kolkata,pm25,24,104,152,134,1611.72
3/31/2016,IN,Kolkata,pm25,24,80,139,107,1897.39
4/1/2016,IN,Kolkata,pm25,24,61,132,87,2211.72
4/2/2016,IN,Kolkata,pm25,24,65,127,97,3460.71
4/3/2016,IN,Kolkata,pm25,24,61,132,97,3966.67
