Date,Country,City,Specie,Value
1/1/2016,IN,Chandigarh,co,6.3
1/1/2016,IN,Chandigarh,o3,6.0
1/1/2016,IN,Chandigarh,so2,12.9
1/1/2016,IN,Chandigarh,pm25,138.3
1/1/2016,IN,Chandigarh,no2,12.0
1/4/2016,IN,Chandigarh,co,13.1
1/4/2016,IN,Chandigarh,o3,6.0
1/4/2016,IN,Chandigarh,so2,16.0
1/4/2016,IN,Chandigarh,pm25,162.3
1/4/2016,IN,Chandigarh,no2,10.5
1/5/2016,IN,Chandigarh,co,11.9
1/5/2016,IN,Chandigarh,o3,7.4
1/5/2016,IN,Chandigarh,so2,23.5
1/5/2016,IN,Chandigarh,pm25,93.3
1/5/2016,IN,Chandigarh,no2,9.6
1/6/2016,IN,Chandigarh,co,5.0
1/6/2016,IN,Chandigarh,o3,11.0
1/6/2016,IN,Chandigarh,so2,21.5
1/6/2016,IN,Chandigarh,pm25,148.0
1/6/2016,IN,Chandigarh,no2,10.8
1/7/2016,IN,Chandigarh,co,5.3
1/7/2016,IN,Chandigarh,o3,6.9
1/7/2016,IN,Chandigarh,so2,4.1
1/7/2016,IN,Chandigarh,pm25,168.0
1/7/2016,IN,Chandigarh,no2,11.1
1/8/2016,IN,Chandigarh,co,6.0
1/8/2016,IN,Chandigarh,o3,10.1
1/8/2016,IN,Chandigarh,so2,3.8
1/8/2016,IN,Chandigarh,pm25,130.0
1/8/2016,IN,Chandigarh,no2,11.3
1/9/2016,IN,Chandigarh,co,8.9
1/9/2016,IN,Chandigarh,o3,10.1
1/9/2016,IN,Chandigarh,so2,1.3
1/9/2016,IN,Chandigarh,pm25,108.3
1/9/2016,IN,Chandigarh,no2,10.1
1/10/2016,IN,Chandigarh,co,7.3
1/10/2016,IN,Chandigarh,o3,10.2
1/10/2016,IN,Chandigarh,so2,1.7
1/10/2016,IN,Chandigarh,pm25,140.0
1/10/2016,IN,Chandigarh,no2,9.7
1/11/2016,IN,Chandigarh,co,6.5
1/11/2016,IN,Chandigarh,o3,11.8
1/11/2016,IN,Chandigarh,so2,2.2
1/11/2016,IN,Chandigarh,pm25,122.7
1/11/2016,IN,Chandigarh,no2,9.9
1/12/2016,IN,Chandigarh,co,9.8
1/12/2016,IN,Chandigarh,o3,17.2
1/12/2016,IN,Chandigarh,so2,2.2
1/12/2016,IN,Chandigarh,pm25,134.0
1/12/2016,IN,Chandigarh,no2,9.8
1/13/2016,IN,Chandigarh,co,11.8
1/13/2016,IN,Chandigarh,o3,10.6
1/13/2016,IN,Chandigarh,so2,2.1
1/13/2016,IN,Chandigarh,pm25,120.3
1/13/2016,IN,Chandigarh,no2,9.6
1/14/2016,IN,Chandigarh,co,8.5
1/14/2016,IN,Chandigarh,o3,5.6
1/14/2016,IN,Chandigarh,so2,2.0
1/14/2016,IN,Chandigarh,pm25,139.7
1/14/2016,IN,Chandigarh,no2,9.8
1/15/2016,IN,Chandigarh,co,11.6
1/15/2016,IN,Chandigarh,o3,6.0
1/15/2016,IN,Chandigarh,so2,2.0
1/15/2016,IN,Chandigarh,no2,9.7
1/16/2016,IN,Chandigarh,co,11.0
1/16/2016,IN,Chandigarh,o3,8.2
1/16/2016,IN,Chandigarh,so2,1.6
1/16/2016,IN,Chandigarh,no2,10.1
1/17/2016,IN,Chandigarh,co,8.4
1/17/2016,IN,Chandigarh,o3,8.9
1/17/2016,IN,Chandigarh,so2,2.0
1/17/2016,IN,Chandigarh,no2,9.9
1/18/2016,IN,Chandigarh,co,8.5
1/18/2016,IN,Chandigarh,o3,8.9
1/18/2016,IN,Chandigarh,so2,3.2
1/18/2016,IN,Chandigarh,pm25,151.3
1/18/2016,IN,Chandigarh,no2,9.7
1/19/2016,IN,Chandigarh,co,6.3
1/19/2016,IN,Chandigarh,o3,6.1
1/19/2016,IN,Chandigarh,so2,2.5
1/19/2016,IN,Chandigarh,pm25,170.7
1/19/2016,IN,Chandigarh,no2,10.2
1/20/2016,IN,Chandigarh,co,12.2
1/20/2016,IN,Chandigarh,o3,6.0
1/20/2016,IN,Chandigarh,so2,1.2
1/20/2016,IN,Chandigarh,pm25,150.0
1/20/2016,IN,Chandigarh,no2,10.9
1/21/2016,IN,Chandigarh,co,8.4
1/21/2016,IN,Chandigarh,o3,6.8
1/21/2016,IN,Chandigarh,so2,1.6
1/21/2016,IN,Chandigarh,pm25,187.7
1/21/2016,IN,Chandigarh,no2,10.6
1/22/2016,IN,Chandigarh,co,8.4
1/22/2016,IN,Chandigarh,o3,6.9
1/22/2016,IN,Chandigarh,so2,3.0
1/22/2016,IN,Chandigarh,pm25,155.0
1/22/2016,IN,Chandigarh,no2,9.6
1/23/2016,IN,Chandigarh,co,6.3
1/23/2016,IN,Chandigarh,o3,7.8
1/23/2016,IN,Chandigarh,so2,2.5
1/23/2016,IN,Chandigarh,pm25,141.3
1/23/2016,IN,Chandigarh,no2,9.8
1/24/2016,IN,Chandigarh,co,7.3
1/24/2016,IN,Chandigarh,o3,8.7
1/24/2016,IN,Chandigarh,so2,1.7
1/24/2016,IN,Chandigarh,pm25,133.0
1/24/2016,IN,Chandigarh,no2,9.6
1/25/2016,IN,Chandigarh,co,13.2
1/25/2016,IN,Chandigarh,o3,5.9
