Date,Country,City,Specie,count,min,max,median,variance
1/1/2020,IN,Chandigarh,o3,95,0.1,52.9,5.7,1308.15
1/1/2020,IN,Chandigarh,so2,91,0.1,63.1,4.9,1157.59
1/1/2020,IN,Chandigarh,pm25,96,58,217,164,18058.2
1/1/2020,IN,Chandigarh,pm10,72,58,397,117,25942.1
1/1/2020,IN,Chandigarh,no2,95,3,73.8,11.2,2340.12
1/1/2020,IN,Chandigarh,co,96,0.1,34.6,8.4,460.12
1/2/2020,IN,Chandigarh,o3,96,0.1,44.1,4.9,689.56
1/2/2020,IN,Chandigarh,so2,92,0.9,32.8,6.8,378.59
1/2/2020,IN,Chandigarh,pm25,96,14,203,156,24330.3
1/2/2020,IN,Chandigarh,pm10,72,28,174,105,10583.7
1/2/2020,IN,Chandigarh,no2,96,2.6,53.8,12,1830.13
1/2/2020,IN,Chandigarh,co,96,0.3,33.3,8.2,390.24
1/3/2020,IN,Chandigarh,o3,93,0.2,46.7,7.4,1256.54
1/3/2020,IN,Chandigarh,so2,90,0.1,42.6,6.4,620.6
1/3/2020,IN,Chandigarh,pm25,95,9,195,158,20599.7
1/3/2020,IN,Chandigarh,dew,20,6.5,12.6,9.3,32.34
1/3/2020,IN,Chandigarh,humidity,51,33.9,99.1,67.7,4039.23
1/3/2020,IN,Chandigarh,pressure,13,735,738,736.5,8.41
1/3/2020,IN,Chandigarh,wind-speed,51,0.2,4.5,1.8,12.31
1/3/2020,IN,Chandigarh,pm10,71,4,151,108,9980.74
1/3/2020,IN,Chandigarh,no2,95,1.9,45.9,11.3,1390.69
1/3/2020,IN,Chandigarh,temperature,44,10,21.4,16.3,88.18
1/3/2020,IN,Chandigarh,wind speed,51,0.2,4.5,1.8,12.31
1/3/2020,IN,Chandigarh,co,95,3.6,38.1,9.3,748.83
1/4/2020,IN,Chandigarh,o3,96,0.7,73.8,10.4,2972.5
1/4/2020,IN,Chandigarh,so2,91,0.1,50.2,5.6,902.71
1/4/2020,IN,Chandigarh,pm25,96,91,324,166,10540.2
1/4/2020,IN,Chandigarh,dew,32,5.3,11.8,6.7,26.78
1/4/2020,IN,Chandigarh,humidity,96,43.3,99.1,80.1,3021.41
1/4/2020,IN,Chandigarh,pressure,24,735,737,736.7,5.17
1/4/2020,IN,Chandigarh,wind-speed,96,0.1,5.2,1.4,18.57
1/4/2020,IN,Chandigarh,pm10,72,56,161,106,6405.7
1/4/2020,IN,Chandigarh,no2,96,3.2,44.1,10.9,1009.06
1/4/2020,IN,Chandigarh,temperature,80,7.4,19.2,13.3,100.69
1/4/2020,IN,Chandigarh,wind speed,96,0.1,5.2,1.4,18.57
1/4/2020,IN,Chandigarh,co,96,0.6,16.2,6.3,89.27
1/5/2020,IN,Chandigarh,o3,96,1.4,71.4,11.9,4055.17
1/5/2020,IN,Chandigarh,so2,85,0.1,79.9,4.3,1056.23
1/5/2020,IN,Chandigarh,pm25,96,87,199,157,7346.09
1/5/2020,IN,Chandigarh,dew,30,4.3,9.8,7,23.92
1/5/2020,IN,Chandigarh,humidity,96,45.5,99.1,76.8,2789.19
1/5/2020,IN,Chandigarh,pressure,24,735.5,737.2,736,2.13
1/5/2020,IN,Chandigarh,wind-speed,96,0.2,5.4,2,25.34
1/5/2020,IN,Chandigarh,pm10,72,56,136,89,4070.23
1/5/2020,IN,Chandigarh,no2,96,4.1,29.1,9.8,340.59
1/5/2020,IN,Chandigarh,temperature,79,6.6,18,12.9,96.71
1/5/2020,IN,Chandigarh,wind speed,96,0.2,5.4,2,25.34
1/5/2020,IN,Chandigarh,co,96,0.3,9.8,5.1,52.84
1/6/2020,IN,Chandigarh,o3,96,0.3,83.3,4,3451.56
1/6/2020,IN,Chandigarh,so2,92,0.1,31.8,4.9,259.14
1/6/2020,IN,Chandigarh,pm25,96,56,172,124,7613.54
1/6/2020,IN,Chandigarh,dew,30,6.3,12,9.1,33.32
1/6/2020,IN,Chandigarh,humidity,96,43,99.6,95,1782.55
1/6/2020,IN,Chandigarh,pressure,24,735,738,737,7.13
1/6/2020,IN,Chandigarh,pm10,72,44,94,59,1732.25
1/6/2020,IN,Chandigarh,no2,96,3.7,35.2,10.2,372.95
1/6/2020,IN,Chandigarh,temperature,80,9.8,15.1,11.8,10.49
1/6/2020,IN,Chandigarh,wind speed,96,0.1,4.6,1.7,13.74
1/6/2020,IN,Chandigarh,co,96,0.1,9.4,4.2,48.72
1/7/2020,IN,Chandigarh,o3,96,0.4,30.1,5.2,755.63
1/7/2020,IN,Chandigarh,so2,92,0.3,26.3,4.9,101.09
1/7/2020,IN,Chandigarh,pm25,96,27,151,86,6356.05
1/7/2020,IN,Chandigarh,dew,30,10.5,12.3,11.5,3.31
1/7/2020,IN,Chandigarh,humidity,96,81.2,99.6,98.7,71.49
1/7/2020,IN,Chandigarh,pressure,24,737,738,737,0.67
1/7/2020,IN,Chandigarh,pm10,72,18,58,43,846.48
1/7/2020,IN,Chandigarh,no2,96,3.7,21.6,7.3,260.81
1/7/2020,IN,Chandigarh,temperature,80,8.5,21.3,11.9,21.67
1/7/2020,IN,Chandigarh,wind speed,96,0.2,4.7,1.7,15.02
1/7/2020,IN,Chandigarh,co,96,0.6,8.6,3.7,46.08
1/8/2020,IN,Chandigarh,o3,96,0.4,28.4,8,404.79
1/8/2020,IN,Chandigarh,so2,89,0.4,52.6,4.7,592.65
1/8/2020,IN,Chandigarh,pm25,96,26,181,83,9759.45
1/8/2020,IN,Chandigarh,dew,32,7.5,11.8,10.6,14.29
1/8/2020,IN,Chandigarh,humidity,96,70.8,99.5,98.7,605.6
1/8/2020,IN,Chandigarh,pressure,24,737,738,737,0.43
1/8/2020,IN,Chandigarh,pm10,72,8,98,38,2801.97
1/8/2020,IN,Chandigarh,no2,96,0.2,34.7,7.4,543
1/8/2020,IN,Chandigarh,temperature,80,7.3,12.4,11.1,15.04
1/8/2020,IN,Chandigarh,wind speed,96,0.1,4.7,1.4,12.61
1/8/2020,IN,Chandigarh,co,96,0.7,46.2,3.8,267.93
1/9/2020,IN,Chandigarh,o3,95,0.4,30.7,8,641.81
1/9/2020,IN,Chandigarh,so2,89,0.5,20.9,5.5,173.72
1/9/2020,IN,Chandigarh,pm25,94,22,159,118,11884.7
1/9/2020,IN,Chandigarh,dew,32,5.9,9.3,8,9.01
1/9/2020,IN,Chandigarh,humidity,95,65.9,99.3,95,948.22
1/9/2020,IN,Chandigarh,pressure,23,737,738,737,0.9
1/9/2020,IN,Chandigarh,pm10,71,21,88,60,2261.8
1/9/2020,IN,Chandigarh,no2,94,0.3,24,7.6,250.81
1/9/2020,IN,Chandigarh,temperature,79,5.5,14,8.5,44.37
1/9/2020,IN,Chandigarh,wind speed,95,0.2,5.5,1.9,22.38
1/9/2020,IN,Chandigarh,co,95,0.2,8.5,3.3,34.81
1/10/2020,IN,Chandigarh,o3,96,0.4,76.4,9.3,2326.52
1/10/2020,IN,Chandigarh,so2,89,0.2,74.7,3.8,731.94
1/10/2020,IN,Chandigarh,pm25,96,51,172,115,11568.7
1/10/2020,IN,Chandigarh,dew,30,5.2,8.5,7.1,11.6
1/10/2020,IN,Chandigarh,humidity,96,46.1,99.6,94.9,2692.59
1/10/2020,IN,Chandigarh,pressure,24,736,738,737,2.47
1/10/2020,IN,Chandigarh,pm10,72,34,119,66,2783.94
1/10/2020,IN,Chandigarh,no2,96,2.8,38.3,9.3,446.5
1/10/2020,IN,Chandigarh,temperature,80,4.2,17.6,9.2,128.53
1/10/2020,IN,Chandigarh,wind speed,96,0.1,5.4,1.8,25.55
1/10/2020,IN,Chandigarh,co,93,0.1,11.1,4,67.43
1/11/2020,IN,Chandigarh,o3,96,0.4,68.1,7.7,2085.23
1/11/2020,IN,Chandigarh,so2,91,0.1,175.8,5.3,10388.7
1/11/2020,IN,Chandigarh,pm25,96,66,187,160,8986.17
1/11/2020,IN,Chandigarh,dew,32,4.3,10.9,6.7,38.56
1/11/2020,IN,Chandigarh,humidity,96,42.8,99.1,95,2155.17
1/11/2020,IN,Chandigarh,pressure,24,736,738,737,2.67
1/11/2020,IN,Chandigarh,pm10,72,51,194,92,6314.79
1/11/2020,IN,Chandigarh,no2,96,1.9,60.9,13.6,1003.74
1/11/2020,IN,Chandigarh,temperature,80,4.8,17.6,10.5,134.95
1/11/2020,IN,Chandigarh,wind speed,96,0.2,4.4,1.4,15.86
1/11/2020,IN,Chandigarh,co,94,0.1,20.4,6.2,163.85
1/12/2020,IN,Chandigarh,o3,96,0.3,32,5.7,970.93
1/12/2020,IN,Chandigarh,so2,74,0.1,116.9,5.6,3204.36
1/12/2020,IN,Chandigarh,pm25,96,127,205,168,1627.16
1/12/2020,IN,Chandigarh,dew,32,7.7,12.8,10.5,23.1
1/12/2020,IN,Chandigarh,humidity,96,57.4,99.5,95,1417.36
1/12/2020,IN,Chandigarh,pressure,24,736,740.5,738.2,21.45
1/12/2020,IN,Chandigarh,pm10,72,66,209,101,5091.2
1/12/2020,IN,Chandigarh,no2,96,2.8,29.8,14.7,383.44
1/12/2020,IN,Chandigarh,temperature,80,6.2,18.2,11.9,72.86
1/12/2020,IN,Chandigarh,wind speed,96,0.1,3.8,1.3,10.72
1/12/2020,IN,Chandigarh,co,96,3.1,15.3,7.4,88.54
1/13/2020,IN,Chandigarh,o3,96,0.2,42.3,4.1,1468.56
1/13/2020,IN,Chandigarh,so2,81,0.1,67.6,4.3,931.46
1/13/2020,IN,Chandigarh,pm25,96,21,213,170,11746
1/13/2020,IN,Chandigarh,dew,31,8.8,12.3,10.6,9.35
1/13/2020,IN,Chandigarh,humidity,96,43.3,99.6,98.5,1213.26
1/13/2020,IN,Chandigarh,pressure,24,735.2,739,737,5.68
1/13/2020,IN,Chandigarh,pm10,72,18,142,100,6739.42
1/13/2020,IN,Chandigarh,no2,96,2.8,36.9,15.1,520.06
1/13/2020,IN,Chandigarh,temperature,80,9.1,15.8,11.4,23.15
1/13/2020,IN,Chandigarh,wind speed,96,0.3,6,1.9,20.08
1/13/2020,IN,Chandigarh,co,96,0.3,15.4,9,131.96
1/14/2020,IN,Chandigarh,o3,94,0.2,43.7,4.5,1069.36
1/14/2020,IN,Chandigarh,so2,87,0.6,37.1,3.5,245.66
1/14/2020,IN,Chandigarh,pm25,94,71,186,156,7145.73
1/14/2020,IN,Chandigarh,dew,31,8,12.1,9.6,8.9
1/14/2020,IN,Chandigarh,humidity,94,95,99.6,98.8,33.2
1/14/2020,IN,Chandigarh,pressure,24,737,739.7,737.7,8.33
1/14/2020,IN,Chandigarh,pm10,70,50,127,70,2534.91
1/14/2020,IN,Chandigarh,no2,94,2.1,36.4,11,449.64
1/14/2020,IN,Chandigarh,temperature,78,7.1,14.1,10.2,30.44
1/14/2020,IN,Chandigarh,wind speed,94,0.1,5,1.5,21.17
1/14/2020,IN,Chandigarh,co,94,2.7,20.3,4.9,79.39
1/15/2020,IN,Chandigarh,o3,95,0.2,38.2,5.2,667.41
1/15/2020,IN,Chandigarh,so2,91,0.3,32,4.3,264.45
1/15/2020,IN,Chandigarh,pm25,96,80,176,144,3716.12
1/15/2020,IN,Chandigarh,dew,32,8.2,10.9,9.4,5.46
1/15/2020,IN,Chandigarh,humidity,94,78.9,99.6,98.8,135.66
1/15/2020,IN,Chandigarh,pressure,24,737.2,742.5,740,13.92
1/15/2020,IN,Chandigarh,pm10,72,38,96,67,1377.83
1/15/2020,IN,Chandigarh,no2,96,2.6,28.6,13.9,316.46
1/15/2020,IN,Chandigarh,temperature,80,0,16.4,9.3,59.7
1/15/2020,IN,Chandigarh,wind speed,96,0.2,16.9,1.5,37.67
1/15/2020,IN,Chandigarh,co,96,0.3,10.4,4.7,48.94
1/16/2020,IN,Chandigarh,o3,95,0.2,44.4,3.7,862.32
1/16/2020,IN,Chandigarh,so2,84,0.1,117.2,4.1,1766.3
1/16/2020,IN,Chandigarh,pm25,95,70,187,134,11383.9
1/16/2020,IN,Chandigarh,dew,32,7.8,12.3,9.8,16.3
1/16/2020,IN,Chandigarh,humidity,85,51.5,99.6,98.8,398.88
1/16/2020,IN,Chandigarh,pressure,24,737,740.7,738,12.36
1/16/2020,IN,Chandigarh,pm10,71,38,146,67,5065.35
1/16/2020,IN,Chandigarh,no2,95,2,32.7,14.1,420.62
1/16/2020,IN,Chandigarh,temperature,79,0,15.4,10.3,176.39
1/16/2020,IN,Chandigarh,wind speed,95,0.3,3.1,1.2,5.01
1/16/2020,IN,Chandigarh,co,93,0.1,11.7,4.9,93.71
1/17/2020,IN,Chandigarh,o3,96,0.2,56.2,2.8,1201.23
1/17/2020,IN,Chandigarh,so2,93,0.1,119.8,4.6,5142.45
1/17/2020,IN,Chandigarh,pm25,94,75,174,154,7234.78
1/17/2020,IN,Chandigarh,dew,31,8.6,11.6,10.1,4.58
1/17/2020,IN,Chandigarh,humidity,96,75.3,99.6,98.8,152.49
1/17/2020,IN,Chandigarh,pressure,24,737,744.7,737,40
1/17/2020,IN,Chandigarh,pm10,72,24,124,75,3658.03
1/17/2020,IN,Chandigarh,no2,96,2.6,33.6,14.5,395.04
1/17/2020,IN,Chandigarh,temperature,80,8,15.4,10.3,19.47
1/17/2020,IN,Chandigarh,wind speed,96,0.1,2.9,1.1,3.13
1/17/2020,IN,Chandigarh,co,83,0.1,25.6,7.1,131.02
1/18/2020,IN,Chandigarh,o3,96,0.5,71,7.4,2150.19
1/18/2020,IN,Chandigarh,so2,93,0.1,175.9,7.1,9133.3
1/18/2020,IN,Chandigarh,pm25,96,71,186,148,8529.52
1/18/2020,IN,Chandigarh,dew,32,8.8,10.6,9.8,2.7
1/18/2020,IN,Chandigarh,humidity,96,65.9,99.6,95.3,1012.77
1/18/2020,IN,Chandigarh,pressure,24,737,744.2,737,31.03
1/18/2020,IN,Chandigarh,pm10,72,39,116,79,3434.45
1/18/2020,IN,Chandigarh,no2,92,0.9,21.8,12.8,242.43
1/18/2020,IN,Chandigarh,temperature,80,6.7,18,10.5,55.76
1/18/2020,IN,Chandigarh,wind speed,96,0.1,2.4,1.1,3.34
1/18/2020,IN,Chandigarh,co,76,0.1,32.8,5.2,139.73
1/19/2020,IN,Chandigarh,o3,96,0.2,63.4,7.4,1630.18
1/19/2020,IN,Chandigarh,so2,91,0.1,157.8,4.7,7932.07
1/19/2020,IN,Chandigarh,pm25,96,60,174,138,6922.1
1/19/2020,IN,Chandigarh,dew,31,6.1,11.3,8.6,19.95
1/19/2020,IN,Chandigarh,humidity,96,66.7,99.6,98.8,653.97
1/19/2020,IN,Chandigarh,pressure,24,737,742.2,738,22.28
1/19/2020,IN,Chandigarh,pm10,72,53,109,70,2251.22
1/19/2020,IN,Chandigarh,no2,96,2.3,27.3,11.8,310.09
1/19/2020,IN,Chandigarh,temperature,80,5.6,17.6,9.4,76.61
1/19/2020,IN,Chandigarh,wind speed,96,0.1,3.3,1.6,5.5
1/19/2020,IN,Chandigarh,co,75,0.1,11.3,6.1,48.85
1/20/2020,IN,Chandigarh,o3,96,0.2,66,4.7,2085.36
1/20/2020,IN,Chandigarh,so2,93,0.2,176,3.4,7446.38
1/20/2020,IN,Chandigarh,pm25,96,65,205,168,12569.1
1/20/2020,IN,Chandigarh,dew,32,6.5,11.7,9.6,20.23
1/20/2020,IN,Chandigarh,humidity,96,69.2,99.6,98.7,441.24
1/20/2020,IN,Chandigarh,pressure,24,737,740.7,738.7,14.31
1/20/2020,IN,Chandigarh,pm10,72,41,145,100,5417.72
1/20/2020,IN,Chandigarh,no2,94,0.1,26.2,14,351.47
1/20/2020,IN,Chandigarh,temperature,80,6.6,15.4,11,61.97
