Date,Country,City,Specie,Value
1/1/2016,IN,Chennai,co,6.2
1/1/2016,IN,Chennai,o3,11.2
1/1/2016,IN,Chennai,so2,0.6
1/1/2016,IN,Chennai,pm25,154.7
1/1/2016,IN,Chennai,no2,21.9
1/2/2016,IN,Chennai,co,5.8
1/2/2016,IN,Chennai,so2,19.0
1/2/2016,IN,Chennai,pm25,117.7
1/2/2016,IN,Chennai,no2,3.8
1/3/2016,IN,Chennai,co,20.0
1/3/2016,IN,Chennai,so2,1.6
1/3/2016,IN,Chennai,pm25,123.3
1/3/2016,IN,Chennai,no2,3.3
1/4/2016,IN,Chennai,co,5.3
1/4/2016,IN,Chennai,o3,14.4
1/4/2016,IN,Chennai,so2,1.4
1/4/2016,IN,Chennai,pm25,114.7
1/4/2016,IN,Chennai,no2,13.4
1/5/2016,IN,Chennai,co,8.7
1/5/2016,IN,Chennai,o3,10.3
1/5/2016,IN,Chennai,so2,1.7
1/5/2016,IN,Chennai,pm25,140.0
1/5/2016,IN,Chennai,no2,22.0
1/6/2016,IN,Chennai,co,5.3
1/6/2016,IN,Chennai,o3,10.1
1/6/2016,IN,Chennai,so2,4.3
1/6/2016,IN,Chennai,pm25,157.7
1/6/2016,IN,Chennai,no2,38.2
1/7/2016,IN,Chennai,co,9.7
1/7/2016,IN,Chennai,o3,10.4
1/7/2016,IN,Chennai,so2,2.0
1/7/2016,IN,Chennai,pm25,120.0
1/7/2016,IN,Chennai,no2,10.5
1/8/2016,IN,Chennai,co,8.2
1/8/2016,IN,Chennai,o3,67.0
1/8/2016,IN,Chennai,so2,4.9
1/8/2016,IN,Chennai,pm25,144.7
1/8/2016,IN,Chennai,no2,26.9
1/9/2016,IN,Chennai,co,7.1
1/9/2016,IN,Chennai,o3,45.8
1/9/2016,IN,Chennai,so2,4.3
1/9/2016,IN,Chennai,pm25,115.0
1/9/2016,IN,Chennai,no2,32.3
1/10/2016,IN,Chennai,co,6.4
1/10/2016,IN,Chennai,o3,9.8
1/10/2016,IN,Chennai,so2,4.0
1/10/2016,IN,Chennai,pm25,139.7
1/10/2016,IN,Chennai,no2,25.8
1/11/2016,IN,Chennai,co,5.1
1/11/2016,IN,Chennai,o3,71.2
1/11/2016,IN,Chennai,so2,4.0
1/11/2016,IN,Chennai,pm25,135.3
1/11/2016,IN,Chennai,no2,25.7
1/12/2016,IN,Chennai,co,5.5
1/12/2016,IN,Chennai,o3,11.5
1/12/2016,IN,Chennai,so2,3.2
1/12/2016,IN,Chennai,pm25,151.7
1/12/2016,IN,Chennai,no2,39.0
1/13/2016,IN,Chennai,co,7.3
1/13/2016,IN,Chennai,o3,11.3
1/13/2016,IN,Chennai,so2,4.7
1/13/2016,IN,Chennai,pm25,135.0
1/13/2016,IN,Chennai,no2,39.4
1/14/2016,IN,Chennai,co,19.1
1/14/2016,IN,Chennai,o3,78.2
1/14/2016,IN,Chennai,so2,17.0
1/14/2016,IN,Chennai,pm25,306.0
1/14/2016,IN,Chennai,no2,37.6
1/15/2016,IN,Chennai,co,12.0
1/15/2016,IN,Chennai,o3,14.9
1/15/2016,IN,Chennai,so2,5.9
1/15/2016,IN,Chennai,pm25,142.0
1/15/2016,IN,Chennai,no2,20.3
1/16/2016,IN,Chennai,co,9.0
1/16/2016,IN,Chennai,o3,26.5
1/16/2016,IN,Chennai,so2,2.2
1/16/2016,IN,Chennai,pm25,139.7
1/16/2016,IN,Chennai,no2,13.1
1/17/2016,IN,Chennai,co,8.8
1/17/2016,IN,Chennai,o3,20.5
1/17/2016,IN,Chennai,so2,2.3
1/17/2016,IN,Chennai,pm25,136.3
1/17/2016,IN,Chennai,no2,10.2
1/18/2016,IN,Chennai,co,7.9
1/18/2016,IN,Chennai,o3,16.7
1/18/2016,IN,Chennai,so2,2.9
1/18/2016,IN,Chennai,pm25,151.3
1/18/2016,IN,Chennai,no2,11.9
1/19/2016,IN,Chennai,co,17.6
1/19/2016,IN,Chennai,o3,172.4
1/19/2016,IN,Chennai,so2,8.6
1/19/2016,IN,Chennai,pm25,130.7
1/19/2016,IN,Chennai,no2,8.3
1/20/2016,IN,Chennai,co,10.5
1/20/2016,IN,Chennai,o3,14.0
1/20/2016,IN,Chennai,so2,2.6
1/20/2016,IN,Chennai,pm25,161.7
1/20/2016,IN,Chennai,no2,7.0
1/21/2016,IN,Chennai,co,11.4
1/21/2016,IN,Chennai,o3,14.8
1/21/2016,IN,Chennai,so2,4.7
1/21/2016,IN,Chennai,pm25,130.3
1/21/2016,IN,Chennai,no2,7.0
1/22/2016,IN,Chennai,co,9.4
1/22/2016,IN,Chennai,o3,11.5
1/22/2016,IN,Chennai,so2,5.8
1/22/2016,IN,Chennai,pm25,155.0
1/22/2016,IN,Chennai,no2,10.6
1/23/2016,IN,Chennai,co,6.2
1/23/2016,IN,Chennai,o3,17.6
1/23/2016,IN,Chennai,so2,141.9
1/23/2016,IN,Chennai,pm25,126.0
1/23/2016,IN,Chennai,no2,10.3
1/24/2016,IN,Chennai,co,75.8
1/24/2016,IN,Chennai,o3,27.4
1/24/2016,IN,Chennai,so2,2.3
1/24/2016,IN,Chennai,pm25,225.7
1/24/2016,IN,Chennai,no2,19.0
1/25/2016,IN,Chennai,co,8.9
1/25/2016,IN,Chennai,o3,15.6
1/25/2016,IN,Chennai,so2,2.5
1/25/2016,IN,Chennai,pm25,125.0
1/25/2016,IN,Chennai,no2,12.2
1/26/2016,IN,Chennai,co,9.4
1/26/2016,IN,Chennai,o3,12.8
1/26/2016,IN,Chennai,so2,2.1
1/26/2016,IN,Chennai,pm25,126.3
1/26/2016,IN,Chennai,no2,31.5
1/27/2016,IN,Chennai,co,10.2
1/27/2016,IN,Chennai,o3,14.2
1/27/2016,IN,Chennai,so2,2.2
1/27/2016,IN,Chennai,pm25,159.7
1/27/2016,IN,Chennai,no2,29.0
1/28/2016,IN,Chennai,co,13.7
1/28/2016,IN,Chennai,o3,12.5
1/28/2016,IN,Chennai,so2,2.4
1/28/2016,IN,Chennai,pm25,132.3
1/28/2016,IN,Chennai,no2,11.9
1/29/2016,IN,Chennai,co,10.1
1/29/2016,IN,Chennai,o3,9.5
1/29/2016,IN,Chennai,so2,2.2
1/29/2016,IN,Chennai,pm25,122.3
1/29/2016,IN,Chennai,no2,11.6
1/30/2016,IN,Chennai,co,9.3
1/30/2016,IN,Chennai,o3,13.9
1/30/2016,IN,Chennai,so2,2.1
1/30/2016,IN,Chennai,pm25,118.3
1/30/2016,IN,Chennai,no2,10.9
1/31/2016,IN,Chennai,co,10.4
1/31/2016,IN,Chennai,o3,14.4
1/31/2016,IN,Chennai,so2,3.7
1/31/2016,IN,Chennai,pm25,396.3
1/31/2016,IN,Chennai,no2,10.1
2/1/2016,IN,Chennai,co,10.8
2/1/2016,IN,Chennai,o3,85.6
2/1/2016,IN,Chennai,so2,2.8
2/1/2016,IN,Chennai,pm25,237.7
2/1/2016,IN,Chennai,no2,11.4
2/2/2016,IN,Chennai,co,11.7
2/2/2016,IN,Chennai,o3,15.9
2/2/2016,IN,Chennai,so2,2.5
2/2/2016,IN,Chennai,pm25,373.3
2/2/2016,IN,Chennai,no2,12.6
