Date,Country,City,Specie,count,min,max,median,variance
1/1/2016,IN,Chennai,co,34,4.4,7.8,6.4,13.55
1/1/2016,IN,Chennai,o3,34,2.5,23.2,7.8,645.33
1/1/2016,IN,Chennai,so2,32,0.5,0.9,0.5,0.1
1/1/2016,IN,Chennai,pm25,34,99,206,159,8799.71
1/1/2016,IN,Chennai,no2,34,5.5,42.1,18,1308.18
1/2/2016,IN,Chennai,co,8,3.1,8.2,6.2,29.33
1/2/2016,IN,Chennai,so2,8,1.7,50.9,4.5,2773.63
1/2/2016,IN,Chennai,pm25,8,108,130,115,529.82
1/2/2016,IN,Chennai,no2,8,3,4.8,3.7,3.94
1/3/2016,IN,Chennai,co,17,3.8,48.5,7.8,1268.9
1/3/2016,IN,Chennai,so2,17,0.9,2.1,1.7,1.02
1/3/2016,IN,Chennai,pm25,34,91,171,108,5739.83
1/3/2016,IN,Chennai,no2,17,2.2,4.8,3,3.73
1/4/2016,IN,Chennai,co,34,0.4,10.9,4.6,49.45
1/4/2016,IN,Chennai,o3,26,4.1,22,17.1,354.44
1/4/2016,IN,Chennai,so2,35,0.5,3.3,0.5,3.84
1/4/2016,IN,Chennai,pm25,59,38,200,106,16149.1
1/4/2016,IN,Chennai,no2,35,2.6,28.9,8.8,487.81
1/5/2016,IN,Chennai,co,72,1.5,17.9,6.7,51.23
1/5/2016,IN,Chennai,o3,48,3.3,22.3,5.3,472.58
1/5/2016,IN,Chennai,so2,72,0.5,3.7,0.9,3.76
1/5/2016,IN,Chennai,pm25,93,61,239,120,14064.7
1/5/2016,IN,Chennai,no2,72,2.2,52.9,11,1686.73
1/6/2016,IN,Chennai,co,62,0.8,9.6,5.5,44.89
1/6/2016,IN,Chennai,o3,38,2.1,23.6,4.5,669.79
1/6/2016,IN,Chennai,so2,61,0.5,11.6,0.9,26.6
1/6/2016,IN,Chennai,pm25,86,85,249,139,14719.6
1/6/2016,IN,Chennai,no2,62,2.2,101.4,11.1,3621.82
1/7/2016,IN,Chennai,co,35,0.4,23.9,4.7,150.94
1/7/2016,IN,Chennai,o3,13,3.3,17.4,10.6,350.27
1/7/2016,IN,Chennai,so2,35,0.5,4.6,0.9,5.03
1/7/2016,IN,Chennai,pm25,48,58,193,109,5321.68
1/7/2016,IN,Chennai,no2,36,1.5,26.3,3.7,530.36
1/8/2016,IN,Chennai,co,69,1.3,17.4,5.8,53.96
1/8/2016,IN,Chennai,o3,46,3.3,191.6,6.1,14819.6
1/8/2016,IN,Chennai,so2,67,0.5,13,1.3,81.39
1/8/2016,IN,Chennai,pm25,91,45,240,149,10676.6
1/8/2016,IN,Chennai,no2,69,1.5,65.4,13.9,2590.32
1/9/2016,IN,Chennai,co,69,0.6,15.9,4.9,79.17
1/9/2016,IN,Chennai,o3,46,0.9,131.1,5.3,9780.23
1/9/2016,IN,Chennai,so2,69,0.5,11,1.3,23.47
1/9/2016,IN,Chennai,pm25,91,18,197,130,17145
1/9/2016,IN,Chennai,no2,69,1.9,85.8,9.2,3199.28
1/10/2016,IN,Chennai,co,72,0.8,13.8,4.7,57.48
1/10/2016,IN,Chennai,o3,48,3.3,19.1,7,414.85
1/10/2016,IN,Chennai,so2,69,0.5,10.5,0.9,23.28
1/10/2016,IN,Chennai,pm25,96,50,239,130,14584.4
1/10/2016,IN,Chennai,no2,72,1.9,69.7,5.9,3244.1
1/11/2016,IN,Chennai,co,59,0.6,8.9,5.7,47.07
1/11/2016,IN,Chennai,o3,48,3.7,202.4,7.4,41838.9
1/11/2016,IN,Chennai,so2,59,0.5,10.6,0.9,35.79
1/11/2016,IN,Chennai,pm25,81,68,202,136,13748.5
1/11/2016,IN,Chennai,no2,59,2.2,64.9,9.9,3253.97
1/12/2016,IN,Chennai,co,69,1,9.6,5.8,45.05
1/12/2016,IN,Chennai,o3,46,2.9,25.2,6.5,635.37
1/12/2016,IN,Chennai,so2,69,0.5,8.2,0.9,24.36
1/12/2016,IN,Chennai,pm25,93,28,274,153,16152.3
1/12/2016,IN,Chennai,no2,69,2.2,104.1,10.7,4891.38
1/13/2016,IN,Chennai,co,72,1.1,15.6,5.1,43.51
1/13/2016,IN,Chennai,o3,48,2.5,24.8,6.5,586.45
1/13/2016,IN,Chennai,so2,65,0.5,13,0.5,79.7
1/13/2016,IN,Chennai,pm25,96,65,214,126,16516.5
1/13/2016,IN,Chennai,no2,72,2.2,105.2,10.7,5529.45
1/14/2016,IN,Chennai,co,70,0.1,50.6,6.6,534.71
1/14/2016,IN,Chennai,o3,48,3.7,224.4,6.4,20258
1/14/2016,IN,Chennai,so2,62,0.5,49.7,0.9,528.45
1/14/2016,IN,Chennai,pm25,95,80,683,155,155876
1/14/2016,IN,Chennai,no2,71,1.7,101.3,9.9,5725.02
1/15/2016,IN,Chennai,co,70,1.3,29.7,5.1,219.03
1/15/2016,IN,Chennai,o3,45,1.3,28.7,14.7,694.05
1/15/2016,IN,Chennai,so2,50,0.5,16.3,0.9,162.16
1/15/2016,IN,Chennai,pm25,94,33,282,111,25592.4
1/15/2016,IN,Chennai,no2,70,1.9,51.4,7.7,847.15
1/16/2016,IN,Chennai,co,71,1.3,21,4.7,202.53
1/16/2016,IN,Chennai,o3,48,1.7,66,11.8,4799.01
1/16/2016,IN,Chennai,so2,69,0.5,4.8,1.3,8.15
1/16/2016,IN,Chennai,pm25,95,50,221,148,16880.3
1/16/2016,IN,Chennai,no2,71,1.9,30.3,7,452.17
1/17/2016,IN,Chennai,co,72,0.9,20.3,5.3,151.21
