Date,Country,City,Specie,Value
1/1/2016,IN,Delhi,o3,12.1
1/1/2016,IN,Delhi,so2,11.7
1/1/2016,IN,Delhi,no2,6.8
1/1/2016,IN,Delhi,co,4.9
1/2/2016,IN,Delhi,o3,0.6
1/2/2016,IN,Delhi,so2,22.2
1/2/2016,IN,Delhi,no2,6.8
1/2/2016,IN,Delhi,co,9.0
1/3/2016,IN,Delhi,o3,39.1
1/3/2016,IN,Delhi,so2,19.5
1/3/2016,IN,Delhi,pm25,282.7
1/3/2016,IN,Delhi,no2,44.5
1/3/2016,IN,Delhi,co,0.1
1/3/2016,IN,Delhi,pm10,293.7
1/4/2016,IN,Delhi,o3,37.0
1/4/2016,IN,Delhi,so2,26.6
1/4/2016,IN,Delhi,pm25,391.3
1/4/2016,IN,Delhi,no2,56.4
1/4/2016,IN,Delhi,co,33.9
1/4/2016,IN,Delhi,pm10,525.3
1/5/2016,IN,Delhi,o3,45.7
1/5/2016,IN,Delhi,so2,24.7
1/5/2016,IN,Delhi,pm25,361.3
1/5/2016,IN,Delhi,no2,56.6
1/5/2016,IN,Delhi,co,42.8
1/5/2016,IN,Delhi,pm10,507.7
1/6/2016,IN,Delhi,o3,36.8
1/6/2016,IN,Delhi,so2,23.9
1/6/2016,IN,Delhi,pm25,354.0
1/6/2016,IN,Delhi,no2,53.5
1/6/2016,IN,Delhi,co,48.2
1/6/2016,IN,Delhi,pm10,517.3
1/7/2016,IN,Delhi,o3,22.3
1/7/2016,IN,Delhi,so2,20.5
1/7/2016,IN,Delhi,pm25,450.7
1/7/2016,IN,Delhi,no2,48.5
1/7/2016,IN,Delhi,co,46.4
1/7/2016,IN,Delhi,pm10,542.3
1/8/2016,IN,Delhi,o3,13.9
1/8/2016,IN,Delhi,so2,19.1
1/8/2016,IN,Delhi,pm25,435.7
1/8/2016,IN,Delhi,no2,35.5
1/8/2016,IN,Delhi,co,41.2
1/8/2016,IN,Delhi,pm10,471.0
1/9/2016,IN,Delhi,o3,22.9
1/9/2016,IN,Delhi,so2,22.4
1/9/2016,IN,Delhi,pm25,264.3
1/9/2016,IN,Delhi,no2,31.5
1/9/2016,IN,Delhi,co,21.6
1/9/2016,IN,Delhi,pm10,307.7
1/10/2016,IN,Delhi,o3,41.0
1/10/2016,IN,Delhi,so2,22.0
1/10/2016,IN,Delhi,pm25,269.7
1/10/2016,IN,Delhi,no2,38.2
1/10/2016,IN,Delhi,co,25.5
1/10/2016,IN,Delhi,pm10,378.0
1/11/2016,IN,Delhi,o3,37.6
1/11/2016,IN,Delhi,so2,22.8
1/11/2016,IN,Delhi,pm25,373.3
1/11/2016,IN,Delhi,no2,43.7
1/11/2016,IN,Delhi,co,36.3
1/11/2016,IN,Delhi,pm10,420.3
1/12/2016,IN,Delhi,o3,68.8
1/12/2016,IN,Delhi,so2,20.6
1/12/2016,IN,Delhi,pm25,290.3
1/12/2016,IN,Delhi,no2,45.7
