Date,Country,City,Specie,count,min,max,median,variance,,
12/26/2016,IN,Delhi,co,207,0.1,373.7,12.7,7237.85,,
12/26/2016,IN,Delhi,pm10,120,66,999,167,121440,,
12/26/2016,IN,Delhi,o3,189,0.5,60.4,4.3,747.62,,
12/26/2016,IN,Delhi,so2,249,0.9,69.9,6.5,498.86,,
12/26/2016,IN,Delhi,pm25,248,34,420,195,44378.4,,
12/26/2016,IN,Delhi,no2,313,4.8,63.5,19.9,2040.12,,
12/27/2016,IN,Delhi,co,182,0.1,368.9,14.7,9130.34,,
12/27/2016,IN,Delhi,pm10,110,107,999,182,346784,,
12/27/2016,IN,Delhi,o3,181,0.2,69.5,4.4,1626.03,,
12/27/2016,IN,Delhi,so2,249,0.7,56.7,5.4,343.97,,
12/27/2016,IN,Delhi,pm25,254,157,485,256,51680.4,,
12/27/2016,IN,Delhi,no2,323,2.7,93.3,24.9,2912.81,,
12/28/2016,IN,Delhi,co,210,0.1,371,19.8,14727.9,,
12/28/2016,IN,Delhi,pm10,120,84,999,329,481474,,
12/28/2016,IN,Delhi,o3,188,0.5,123,4.1,4473.76,,
12/28/2016,IN,Delhi,so2,258,0.5,56.2,6.9,558.05,,
12/28/2016,IN,Delhi,pm25,263,154,824,308,155174,,
12/28/2016,IN,Delhi,no2,316,3.7,107.4,27.9,6646.93,,
12/29/2016,IN,Delhi,co,207,0.1,368.2,18.6,11465,,
12/29/2016,IN,Delhi,pm10,120,179,990,324,283891,,
12/29/2016,IN,Delhi,o3,192,0.5,272.3,3.3,11804.9,,
12/29/2016,IN,Delhi,so2,245,0.5,81.6,6.2,1402.44,,
12/29/2016,IN,Delhi,pm25,239,185,581,343,68879.3,,
12/29/2016,IN,Delhi,no2,325,4.4,113.9,28.9,4154.24,,
12/30/2016,IN,Delhi,co,194,0.1,372.8,17,7485.5,,
12/30/2016,IN,Delhi,pm10,108,132,340,186,46334.8,,
12/30/2016,IN,Delhi,o3,177,0.5,212.8,4.1,4855.32,,
12/30/2016,IN,Delhi,so2,224,0.5,55.7,3.7,510.9,,
12/30/2016,IN,Delhi,pm25,235,167,478,257,54801.8,,
12/30/2016,IN,Delhi,no2,301,0.9,52.1,20,1588.46,,
12/31/2016,IN,Delhi,co,182,0.1,371.9,20.7,8256.33,,
12/31/2016,IN,Delhi,pm10,112,74,489,194,66612.4,,
12/31/2016,IN,Delhi,o3,160,0.5,37,3.7,534.95,,
12/31/2016,IN,Delhi,so2,213,0.6,56.2,5.4,448.56,,
12/31/2016,IN,Delhi,pm25,240,162,558,251,75173.8,,
12/31/2016,IN,Delhi,no2,289,3.7,69.7,22,1903.02,,
1/1/2017,IN,Delhi,co,192,0.2,372.8,19,10466.1,,
1/1/2017,IN,Delhi,pm10,120,65,789,164,217634,,
1/1/2017,IN,Delhi,o3,152,0.2,114.9,4.5,2310.55,,
1/1/2017,IN,Delhi,so2,190,0.9,56.2,5.7,514.65,,
1/1/2017,IN,Delhi,pm25,240,153,620,251,108391,,
1/1/2017,IN,Delhi,no2,264,4.4,80.9,21.3,2173.77,,
1/2/2017,IN,Delhi,co,203,0.1,232.9,21.4,6139.34,,
1/2/2017,IN,Delhi,pm10,115,33,733,256,258778,,
1/2/2017,IN,Delhi,o3,171,0.5,48.9,6.5,1492.94,,
1/2/2017,IN,Delhi,so2,203,0.5,56.2,8,483.04,,
1/2/2017,IN,Delhi,pm25,249,66,824,285,139731,,
1/2/2017,IN,Delhi,no2,279,4.4,98.6,20.9,3815.46,,
1/3/2017,IN,Delhi,co,216,0.1,374.5,17.9,12553.9,,
1/3/2017,IN,Delhi,pm10,115,54,914,192,258832,,
1/3/2017,IN,Delhi,o3,190,0.5,96.7,3.7,3046.91,,
1/3/2017,IN,Delhi,so2,224,1.1,56.2,7.2,416.64,,
1/3/2017,IN,Delhi,pm25,262,105,486,260,50443.4,,
1/3/2017,IN,Delhi,no2,296,4.1,87.9,23.1,3356.59,,
1/4/2017,IN,Delhi,co,211,0.1,372.5,21.3,12165.1,,
1/4/2017,IN,Delhi,pm10,119,67,914,175,362828,,
1/4/2017,IN,Delhi,o3,187,0.4,84.2,4.7,2614.6,,
1/4/2017,IN,Delhi,so2,217,0.5,56.2,6.6,634.77,,
1/4/2017,IN,Delhi,pm25,268,153,824,247,119322,,
1/4/2017,IN,Delhi,no2,308,2,103.3,20.2,4077.35,,
1/5/2017,IN,Delhi,co,214,0.1,374.4,18.1,9963.85,,
1/5/2017,IN,Delhi,pm10,120,101,726,167,226243,,
1/5/2017,IN,Delhi,o3,188,0.5,112.2,5.3,3659.86,,
1/5/2017,IN,Delhi,so2,229,0.9,56.2,8.6,407.22,,
1/5/2017,IN,Delhi,pm25,274,155,581,240,43846.4,,
1/5/2017,IN,Delhi,no2,304,4.4,93.8,22.7,3602.54,,
1/6/2017,IN,Delhi,co,193,0.1,373.9,13.1,8025.83,,
1/6/2017,IN,Delhi,pm10,115,97,647,149,57793.3,,
1/6/2017,IN,Delhi,o3,169,0.5,57.3,6.2,1467.79,,
1/6/2017,IN,Delhi,so2,211,0.5,55.7,6.1,342.46,,
1/6/2017,IN,Delhi,pm25,267,151,423,230,29874.8,,
1/6/2017,IN,Delhi,no2,289,4.8,105.6,23.5,2969.2,,
1/7/2017,IN,Delhi,co,147,0.1,25.8,12,468.08,,
1/7/2017,IN,Delhi,pm10,99,62,159,110,6763.4,,
1/7/2017,IN,Delhi,o3,147,0.5,40.3,4.7,305.6,,
1/7/2017,IN,Delhi,so2,197,0.5,51.9,5.5,265.23,,
1/7/2017,IN,Delhi,pm25,246,115,824,199,28452.7,,
1/7/2017,IN,Delhi,no2,264,3.7,82,16.2,2618.37,,
1/8/2017,IN,Delhi,co,168,0.1,57.1,10,860.69,,
1/8/2017,IN,Delhi,pm10,120,71,421,120,57816.8,,
1/8/2017,IN,Delhi,o3,190,0.5,54,7.3,1194.72,,
1/8/2017,IN,Delhi,so2,238,0.5,55.7,6.6,809.04,,
1/8/2017,IN,Delhi,pm25,266,159,824,194,64153.8,,
1/8/2017,IN,Delhi,no2,287,3.7,70.2,19.4,1893.43,,
1/9/2017,IN,Delhi,co,186,0.1,75.9,8.4,1031.65,,
1/9/2017,IN,Delhi,pm10,112,62,566,128,107996,,
1/9/2017,IN,Delhi,o3,195,0.5,44,4.9,1107.95,,
1/9/2017,IN,Delhi,so2,242,0.5,56.2,6.6,372.01,,
1/9/2017,IN,Delhi,pm25,270,63,420,197,38243.5,,
1/9/2017,IN,Delhi,no2,312,4.4,99.2,23.4,2262.53,,
1/10/2017,IN,Delhi,co,229,0.1,370.9,6,6977.19,,
1/10/2017,IN,Delhi,pm10,114,48,753,118,146118,,
1/10/2017,IN,Delhi,o3,204,0.3,166.1,6.1,3027.32,,
1/10/2017,IN,Delhi,so2,244,0.5,126.8,5.4,1069.75,,
1/10/2017,IN,Delhi,pm25,306,86,378,180,20465.1,,
1/10/2017,IN,Delhi,no2,320,0.1,99.2,20.5,2820.71,,
1/11/2017,IN,Delhi,co,207,0.1,66.8,7.5,1655.33,,
1/11/2017,IN,Delhi,pm10,116,66,622,146,169298,,
1/11/2017,IN,Delhi,o3,195,0.2,55.2,7,1762.34,,
1/11/2017,IN,Delhi,so2,244,0.4,41.2,7.3,374.43,,
1/11/2017,IN,Delhi,pm25,302,99,462,205,34313.1,,
1/11/2017,IN,Delhi,no2,300,3.7,91.1,25.3,2516.33,,
1/12/2017,IN,Delhi,co,240,0.1,75.3,13.6,1931.72,,
1/12/2017,IN,Delhi,pm10,120,74,842,249,329065,,
1/12/2017,IN,Delhi,o3,204,0.2,239.4,6.8,4975.97,,
1/12/2017,IN,Delhi,so2,261,0.9,160.7,7.8,2007.19,,
1/12/2017,IN,Delhi,pm25,295,56,824,276,120453,,
1/12/2017,IN,Delhi,no2,321,4.8,75.6,27.5,2337,,
1/13/2017,IN,Delhi,co,240,0.1,118.1,10.8,3923.76,,
1/13/2017,IN,Delhi,pm10,119,6,959,279,337567,,
1/13/2017,IN,Delhi,o3,196,0.5,268.2,11,11275.1,,
1/13/2017,IN,Delhi,so2,261,0.5,53.3,8.1,769.42,,
1/13/2017,IN,Delhi,pm25,296,10,824,286,111788,,
1/13/2017,IN,Delhi,no2,331,1,101,28.7,3240.23,,
1/14/2017,IN,Delhi,co,228,0.1,122.9,13.5,2437.45,,
1/14/2017,IN,Delhi,pm10,108,93,999,215,321051,,
1/14/2017,IN,Delhi,o3,202,0.4,76.3,5,1950.56,,
1/14/2017,IN,Delhi,so2,250,0.5,43.6,8,523.78,,
1/14/2017,IN,Delhi,pm25,283,168,824,305,154953,,
1/14/2017,IN,Delhi,no2,323,4.8,100.5,30,2794.31,,
1/15/2017,IN,Delhi,co,237,0.1,61.6,17.2,2233.94,,
1/15/2017,IN,Delhi,pm10,119,83,687,181,195138,,
1/15/2017,IN,Delhi,o3,206,0.5,97,4.5,3159.09,,
1/15/2017,IN,Delhi,so2,261,0.5,30.9,8.6,415.93,,
1/15/2017,IN,Delhi,pm25,301,155,824,253,67258.2,,
1/15/2017,IN,Delhi,no2,314,4.4,91.1,27.5,2525.07,,
1/16/2017,IN,Delhi,co,220,0.1,49,9.5,1635.46,,
1/16/2017,IN,Delhi,pm10,120,71,609,147,89421.3,,
1/16/2017,IN,Delhi,o3,193,0.7,32.7,7.3,429.05,,
1/16/2017,IN,Delhi,so2,255,0.5,69.7,6.5,579.79,,
1/16/2017,IN,Delhi,pm25,303,164,420,223,23012.6,,
1/16/2017,IN,Delhi,no2,302,0.8,72.4,21.1,1547.32,,
1/17/2017,IN,Delhi,co,233,0.1,35.7,8.3,461.95,,
1/17/2017,IN,Delhi,pm10,120,57,426,111,52767.5,,
1/17/2017,IN,Delhi,o3,215,0.3,58,6.9,773.95,,
1/17/2017,IN,Delhi,so2,248,0.5,81.9,4.6,414.9,,
1/17/2017,IN,Delhi,pm25,302,111,420,184,22083.1,,
1/17/2017,IN,Delhi,no2,323,1.3,60.7,17.8,1004.03,,
1/18/2017,IN,Delhi,co,233,0.1,348.2,8.3,5398.23,,
1/18/2017,IN,Delhi,pm10,119,50,540,154,80153.9,,
1/18/2017,IN,Delhi,o3,215,0.4,48.1,4.1,1000.36,,
1/18/2017,IN,Delhi,so2,258,1.3,67.3,7.8,482.02,,
1/18/2017,IN,Delhi,pm25,304,86,430,209,39875.5,,
1/18/2017,IN,Delhi,no2,310,4.8,173,21.3,3568.66,,
1/19/2017,IN,Delhi,co,205,0.6,342.6,8.4,5978.07,,
1/19/2017,IN,Delhi,pm10,120,64,421,127,30824,,
1/19/2017,IN,Delhi,o3,193,0.5,41.7,6.5,1042.26,,
1/19/2017,IN,Delhi,so2,237,0.5,55.7,6.1,295.12,,
1/19/2017,IN,Delhi,pm25,285,117,420,195,28696.4,,
1/19/2017,IN,Delhi,no2,281,4.4,42.8,20.2,773.32,,
1/20/2017,IN,Delhi,co,195,0.1,40.5,9.8,524.85,,
1/20/2017,IN,Delhi,pm10,116,48,305,115,30157.5,,
1/20/2017,IN,Delhi,o3,176,0.4,44.3,7.4,1331.73,,
1/20/2017,IN,Delhi,so2,237,0.5,55.3,5.5,301.26,,
1/20/2017,IN,Delhi,pm25,255,100,824,178,67082.2,,
1/20/2017,IN,Delhi,no2,298,4.4,124.6,20.5,1787.9,,
1/21/2017,IN,Delhi,co,196,0.1,362.2,9.4,7508.9,,
1/21/2017,IN,Delhi,pm10,94,76,863,152,333261,,
1/21/2017,IN,Delhi,o3,175,0.5,34.8,5.9,746.33,,
1/21/2017,IN,Delhi,so2,220,1.3,55.7,8.6,429.48,,
1/21/2017,IN,Delhi,pm25,260,138,824,222,91622,,
1/21/2017,IN,Delhi,no2,291,4.1,73,28.6,1956.14,,
1/22/2017,IN,Delhi,co,190,0.2,347.7,10.7,6874.79,,
1/22/2017,IN,Delhi,pm10,117,63,620,199,116842,,
1/22/2017,IN,Delhi,o3,197,0.5,46.8,4.1,956.1,,
1/22/2017,IN,Delhi,so2,246,2.1,63,9.4,469.59,,
1/22/2017,IN,Delhi,pm25,288,137,824,248,85523.5,,
1/22/2017,IN,Delhi,no2,303,3.7,58.6,25.3,1459.63,,
1/23/2017,IN,Delhi,co,219,0.1,357.6,9.5,6544.14,,
1/23/2017,IN,Delhi,pm10,120,29,963,149,182651,,
1/23/2017,IN,Delhi,o3,203,0.5,42.6,3.9,1196.35,,
1/23/2017,IN,Delhi,so2,251,0.9,59.6,7.1,351.48,,
1/23/2017,IN,Delhi,pm25,281,50,503,209,41895.2,,
1/23/2017,IN,Delhi,no2,315,3.3,80.9,25.5,2118.39,,
1/24/2017,IN,Delhi,co,223,0.1,352.4,11.8,8557.28,,
1/24/2017,IN,Delhi,pm10,119,37,999,239,467130,,
1/24/2017,IN,Delhi,o3,203,0.4,62.9,4.5,2226.62,,
1/24/2017,IN,Delhi,so2,234,1.3,64.9,8.4,666.88,,
1/24/2017,IN,Delhi,pm25,287,85,824,253,67517,,
1/24/2017,IN,Delhi,no2,299,1.5,101.2,30.8,3437.78,,
1/25/2017,IN,Delhi,co,195,0.1,326.3,12,7550.41,,
1/25/2017,IN,Delhi,pm10,120,90,999,196,260245,,
1/25/2017,IN,Delhi,o3,198,0.5,74.5,7.4,1039.27,,
1/25/2017,IN,Delhi,so2,221,0.9,56.2,7.8,446.56,,
1/25/2017,IN,Delhi,pm25,291,165,824,262,71725.9,,
1/25/2017,IN,Delhi,no2,284,0.4,103.7,29.7,3553.95,,
1/26/2017,IN,Delhi,co,196,0.1,53,11.3,2768.51,,
1/26/2017,IN,Delhi,pm10,116,30,317,115,28270.2,,
1/26/2017,IN,Delhi,o3,192,1.7,40.9,5.3,147.86,,
1/26/2017,IN,Delhi,so2,215,0.5,70.7,6.1,425.25,,
1/26/2017,IN,Delhi,pm25,278,59,824,199,71133,,
1/26/2017,IN,Delhi,no2,287,1.3,115.2,19.8,1767.14,,
1/27/2017,IN,Delhi,co,166,0.1,49.8,5.3,574.6,,
1/27/2017,IN,Delhi,pm10,119,1,131,61,8957.12,,
1/27/2017,IN,Delhi,o3,154,1.8,27.3,6.5,287.65,,
1/27/2017,IN,Delhi,so2,177,0.5,14.2,4.9,167.02,,
1/27/2017,IN,Delhi,pm25,240,33,420,152,30748.5,,
1/27/2017,IN,Delhi,no2,250,4.4,36.9,16.5,471.09,,
1/28/2017,IN,Delhi,co,192,0.1,32.5,6.2,341.05,,
1/28/2017,IN,Delhi,pm10,120,46,172,102,5965.61,,
1/28/2017,IN,Delhi,o3,168,0.9,33.3,5.5,409.5,,
1/28/2017,IN,Delhi,so2,192,0.9,14.6,5.3,136.72,,
1/28/2017,IN,Delhi,pm25,254,104,358,173,5802.43,,
1/28/2017,IN,Delhi,no2,263,4.4,42.2,17.8,600.28,,
1/29/2017,IN,Delhi,co,203,0.1,85.3,7.9,2138.15,,
1/29/2017,IN,Delhi,pm10,120,59,298,110,16158.8,,
1/29/2017,IN,Delhi,o3,184,0.6,40.8,8.2,699.5,,
1/29/2017,IN,Delhi,so2,216,0.6,23.6,5.6,173.97,,
1/29/2017,IN,Delhi,pm25,247,89,420,177,37494.6,,
1/29/2017,IN,Delhi,no2,284,4.4,50.4,15.8,991.41,,
1/30/2017,IN,Delhi,co,230,0.1,81.1,12.2,2787.22,,
1/30/2017,IN,Delhi,pm10,117,37,759,161,108213,,
1/30/2017,IN,Delhi,o3,188,0.4,46.7,4.1,1340.01,,
1/30/2017,IN,Delhi,so2,226,0.1,56.2,5.9,394.25,,
1/30/2017,IN,Delhi,pm25,258,61,452,208,55725.6,,
1/30/2017,IN,Delhi,no2,294,2.6,80.9,21.6,1871.2,,
1/31/2017,IN,Delhi,co,232,0.1,329,12.9,5959.43,,
1/31/2017,IN,Delhi,pm10,120,63,831,153,203614,,
1/31/2017,IN,Delhi,o3,205,0.5,46.7,4.5,1173.7,,
1/31/2017,IN,Delhi,so2,239,0.5,59.6,7.3,597.76,,
1/31/2017,IN,Delhi,pm25,299,139,528,227,53100.5,,
1/31/2017,IN,Delhi,no2,306,0.4,105.3,22.7,4413.43,,
2/1/2017,IN,Delhi,co,208,0.1,356.4,11.2,7672.87,,
2/1/2017,IN,Delhi,pm10,120,44,647,130,129068,,
2/1/2017,IN,Delhi,o3,185,0.5,84.5,4.3,1207.18,,
2/1/2017,IN,Delhi,so2,201,0.9,71.2,5.8,544.55,,
2/1/2017,IN,Delhi,pm25,279,5,491,183,25583.7,,
2/1/2017,IN,Delhi,no2,275,4.1,84.7,22,1602.34,,
2/2/2017,IN,Delhi,co,220,0.1,351.1,16.7,7314.09,,
2/2/2017,IN,Delhi,pm10,120,3,999,204,396957,,
2/2/2017,IN,Delhi,o3,195,0.5,70.2,4.5,2066.38,,
2/2/2017,IN,Delhi,so2,220,0.9,60.1,7.7,434.72,,
2/2/2017,IN,Delhi,pm25,291,52,461,230,60760,,
2/2/2017,IN,Delhi,no2,291,6.3,115.8,27.5,4934.61,,
2/3/2017,IN,Delhi,co,240,1.5,125.3,16,3450.89,,
2/3/2017,IN,Delhi,pm10,120,69,999,172,490537,,
2/3/2017,IN,Delhi,o3,212,0.4,91.3,4.1,3464.16,,
