Date,Country,City,Specie,count,min,max,median,variance
1/1/2018,IN,Delhi,o3,300,0.1,147.3,8.5,1709.43
1/1/2018,IN,Delhi,pm25,384,81,999,342,103856
1/1/2018,IN,Delhi,co,307,0.1,98.5,5.1,2534.41
1/1/2018,IN,Delhi,pm10,236,40,889,302,256990
1/1/2018,IN,Delhi,so2,204,0.5,61.1,7.4,1066.76
1/1/2018,IN,Delhi,no2,359,1.5,110.4,25.6,5436.32
1/2/2018,IN,Delhi,o3,362,0.5,149,8.1,1204.29
1/2/2018,IN,Delhi,pm25,467,33,588,327,68871.7
1/2/2018,IN,Delhi,co,372,0.1,118.9,4,2903.91
1/2/2018,IN,Delhi,pm10,300,21,999,318,207899
1/2/2018,IN,Delhi,so2,231,0.5,43.6,5.4,471.18
1/2/2018,IN,Delhi,no2,444,1.1,100.6,23.9,2679.8
1/3/2018,IN,Delhi,o3,392,0.5,75.5,8.6,655.53
1/3/2018,IN,Delhi,pm25,468,162,525,253,52819.7
1/3/2018,IN,Delhi,co,385,0.1,74.2,5.4,1300.03
1/3/2018,IN,Delhi,pm10,291,76,722,192,159244
1/3/2018,IN,Delhi,so2,243,0.5,40.2,4.9,371.11
1/3/2018,IN,Delhi,no2,441,0.8,105.9,21.6,3047.07
1/4/2018,IN,Delhi,o3,407,0.5,37.2,7.8,577.39
1/4/2018,IN,Delhi,pm25,486,53,999,269,106580
1/4/2018,IN,Delhi,co,405,0.1,149.7,7.6,1832.5
1/4/2018,IN,Delhi,pm10,292,20,859,226,268347
1/4/2018,IN,Delhi,so2,262,0.5,63,6.5,283.73
1/4/2018,IN,Delhi,no2,422,1.9,103.2,25.3,3948.6
1/5/2018,IN,Delhi,o3,379,0.2,39,7.4,426.81
1/5/2018,IN,Delhi,pm25,486,98,999,274,70818.3
1/5/2018,IN,Delhi,co,386,0.1,85.7,6.8,1835.29
1/5/2018,IN,Delhi,pm10,301,70,863,200,133911
1/5/2018,IN,Delhi,so2,250,0.5,62,5.3,254.65
1/5/2018,IN,Delhi,no2,436,3.3,101.3,22.6,2455.85
1/6/2018,IN,Delhi,o3,387,0.7,49,8.2,645.72
1/6/2018,IN,Delhi,pm25,481,126,824,277,98365.5
1/6/2018,IN,Delhi,co,387,0.1,316,9.5,4831.93
1/6/2018,IN,Delhi,pm10,289,90,999,219,215390
1/6/2018,IN,Delhi,so2,244,0.9,100.1,7.3,914.6
1/6/2018,IN,Delhi,no2,414,2.6,104.1,22.4,4365.26
1/7/2018,IN,Delhi,o3,407,0.5,67.7,8.2,996.39
1/7/2018,IN,Delhi,pm25,496,72,553,221,62588
1/7/2018,IN,Delhi,co,408,0.1,52.9,5,1149.66
1/7/2018,IN,Delhi,pm10,312,73,954,177,126232
1/7/2018,IN,Delhi,so2,263,0.9,24.4,6.9,244.76
1/7/2018,IN,Delhi,no2,400,0.8,102.3,19.1,2486.04
1/8/2018,IN,Delhi,o3,406,0.6,65.1,9,1150.89
1/8/2018,IN,Delhi,pm25,486,3,492,191,49168.1
1/8/2018,IN,Delhi,co,408,0.1,86.4,4.6,1101.1
1/8/2018,IN,Delhi,pm10,310,13,922,146,120210
1/8/2018,IN,Delhi,so2,264,0.9,39.2,6.5,435.74
1/8/2018,IN,Delhi,no2,424,0.4,102.6,20.9,3264.8
1/9/2018,IN,Delhi,o3,404,0.9,120.8,9,1343.67
