Date,Country,City,Specie,count,min,max,median,variance
1/1/2018,IN,Hyderabad,co,74,0.2,19.6,7.8,233.7
1/1/2018,IN,Hyderabad,pm10,75,29,375,81,19808.5
1/1/2018,IN,Hyderabad,pm25,109,43,199,153,17728.2
1/1/2018,IN,Hyderabad,o3,93,0.5,52.3,21.6,1455.09
1/1/2018,IN,Hyderabad,so2,88,0.5,126.2,4.9,1851.59
1/1/2018,IN,Hyderabad,no2,74,3,46.2,14.3,1373.99
1/1/2018,IN,Delhi,o3,300,0.1,147.3,8.5,1709.43
1/1/2018,IN,Delhi,pm25,384,81,999,342,103856
1/1/2018,IN,Delhi,co,307,0.1,98.5,5.1,2534.41
1/1/2018,IN,Delhi,pm10,236,40,889,302,256990
1/1/2018,IN,Delhi,so2,204,0.5,61.1,7.4,1066.76
1/1/2018,IN,Delhi,no2,359,1.5,110.4,25.6,5436.32
1/1/2018,IN,Nagpur,co,19,1.1,59.1,8.7,3525.47
1/1/2018,IN,Nagpur,pm10,19,74,134,99,3055.38
1/1/2018,IN,Nagpur,o3,19,4.2,49.2,11.4,3073.31
1/1/2018,IN,Nagpur,so2,19,1.3,21.9,9.4,483.46
1/1/2018,IN,Nagpur,pm25,19,153,186,173,1074.85
1/1/2018,IN,Nagpur,no2,19,5.9,35.7,11.7,1214.67
1/1/2018,IN,Chennai,co,74,2.9,21.7,9.3,135.95
1/1/2018,IN,Chennai,o3,56,1.3,35.4,10.2,1214.81
1/1/2018,IN,Chennai,no2,74,0.8,19.6,6.1,101.02
1/1/2018,IN,Chennai,so2,72,0.5,37.5,2.1,421.74
1/1/2018,IN,Chennai,pm25,91,56,180,129,9463.04
1/1/2018,IN,Mumbai,no2,34,4.8,106,32.2,4589.9
1/1/2018,IN,Mumbai,pm25,53,10,305,166,36612.9
1/1/2018,IN,Mumbai,pm10,52,31,198,104,17877.4
1/1/2018,IN,Mumbai,o3,36,2.5,53.6,19.9,2893.42
1/1/2018,IN,Mumbai,so2,52,5.7,59.6,16.5,1256.63
1/1/2018,IN,Mumbai,co,42,0.8,86.4,13.7,3542.79
1/1/2018,IN,Bengaluru,no2,74,0.8,67.9,17.2,2378.56
1/1/2018,IN,Bengaluru,co,74,1.8,34.4,9.4,309.57
1/1/2018,IN,Bengaluru,pm10,24,38,113,56,3807.54
1/1/2018,IN,Bengaluru,o3,42,1.7,131.3,23.2,20503.3
1/1/2018,IN,Bengaluru,so2,71,0.5,3.3,1.7,4.74
1/1/2018,IN,Bengaluru,pm25,30,34,158,95,14148.7
1/1/2018,IN,Kolkata,pm25,17,169,264,190,5552.5
1/2/2018,IN,Hyderabad,co,105,1,29,6.7,259.16
1/2/2018,IN,Hyderabad,pm10,94,62,161,86,3807.25
1/2/2018,IN,Hyderabad,pm25,140,117,182,159,1268.4
1/2/2018,IN,Hyderabad,o3,119,0.9,87.8,21.2,2736.49
1/2/2018,IN,Hyderabad,so2,120,0.9,90.6,4.9,682.81
1/2/2018,IN,Hyderabad,no2,100,4.4,67,15.8,1511.06
1/2/2018,IN,Delhi,o3,362,0.5,149,8.1,1204.29
1/2/2018,IN,Delhi,pm25,467,33,588,327,68871.7
1/2/2018,IN,Delhi,co,372,0.1,118.9,4,2903.91
1/2/2018,IN,Delhi,pm10,300,21,999,318,207899
1/2/2018,IN,Delhi,so2,231,0.5,43.6,5.4,471.18
1/2/2018,IN,Delhi,no2,444,1.1,100.6,23.9,2679.8
1/2/2018,IN,Chandigarh,co,4,5.1,10.9,6.9,58.76
1/2/2018,IN,Chandigarh,o3,3,10.6,13.9,11.4,29.63
1/2/2018,IN,Chandigarh,so2,4,4.9,6.1,5.3,3.6
1/2/2018,IN,Chandigarh,no2,4,9.6,10.7,9.6,2.97
1/2/2018,IN,Nagpur,co,20,1.5,58.5,9.1,3021.21
1/2/2018,IN,Nagpur,pm10,24,70,151,94,5128.04
1/2/2018,IN,Nagpur,o3,24,3.8,43.2,9.9,1980.45
1/2/2018,IN,Nagpur,so2,24,2.2,22.7,7.4,436.73
1/2/2018,IN,Nagpur,pm25,24,156,215,170,1726.94
1/2/2018,IN,Nagpur,no2,24,6.3,53,11.7,1663.2
1/2/2018,IN,Chennai,co,96,3.3,17.6,8,163.86
1/2/2018,IN,Chennai,o3,72,1.3,33.4,4.5,719.5
1/2/2018,IN,Chennai,no2,96,1.1,15.4,6.6,86.11
1/2/2018,IN,Chennai,so2,96,0.9,37.5,2.9,507.8
1/2/2018,IN,Chennai,pm25,120,13,834,145,83562.7
