Date,Country,City,Specie,Value
1/3/2016,IN,Hyderabad,co,12.8
1/3/2016,IN,Hyderabad,pm10,79.0
1/3/2016,IN,Hyderabad,o3,20.5
1/3/2016,IN,Hyderabad,so2,14.7
1/3/2016,IN,Hyderabad,pm25,143.0
1/3/2016,IN,Hyderabad,no2,9.6
1/4/2016,IN,Hyderabad,co,13.8
1/4/2016,IN,Hyderabad,pm10,79.3
1/4/2016,IN,Hyderabad,o3,16.0
1/4/2016,IN,Hyderabad,so2,19.4
1/4/2016,IN,Hyderabad,pm25,235.3
1/4/2016,IN,Hyderabad,no2,9.9
1/5/2016,IN,Hyderabad,co,10.6
1/5/2016,IN,Hyderabad,pm10,78.7
1/5/2016,IN,Hyderabad,o3,15.3
1/5/2016,IN,Hyderabad,so2,21.2
1/5/2016,IN,Hyderabad,pm25,184.3
1/5/2016,IN,Hyderabad,no2,10.8
1/6/2016,IN,Hyderabad,co,10.5
1/6/2016,IN,Hyderabad,pm10,77.7
1/6/2016,IN,Hyderabad,o3,20.1
1/6/2016,IN,Hyderabad,so2,21.2
1/6/2016,IN,Hyderabad,pm25,208.0
1/6/2016,IN,Hyderabad,no2,10.5
1/7/2016,IN,Hyderabad,co,9.0
1/7/2016,IN,Hyderabad,pm10,75.0
1/7/2016,IN,Hyderabad,o3,34.3
1/7/2016,IN,Hyderabad,so2,18.3
1/7/2016,IN,Hyderabad,pm25,144.0
1/7/2016,IN,Hyderabad,no2,8.3
1/8/2016,IN,Hyderabad,co,9.3
1/8/2016,IN,Hyderabad,pm10,75.3
1/8/2016,IN,Hyderabad,o3,36.3
1/8/2016,IN,Hyderabad,so2,14.9
1/8/2016,IN,Hyderabad,pm25,148.0
1/8/2016,IN,Hyderabad,no2,10.3
1/9/2016,IN,Hyderabad,co,10.2
1/9/2016,IN,Hyderabad,pm10,77.7
1/9/2016,IN,Hyderabad,o3,35.6
1/9/2016,IN,Hyderabad,so2,19.1
1/9/2016,IN,Hyderabad,pm25,219.7
1/9/2016,IN,Hyderabad,no2,10.5
1/10/2016,IN,Hyderabad,co,10.0
1/10/2016,IN,Hyderabad,pm10,76.0
1/10/2016,IN,Hyderabad,o3,37.8
1/10/2016,IN,Hyderabad,so2,18.1
1/10/2016,IN,Hyderabad,pm25,186.0
1/10/2016,IN,Hyderabad,no2,12.8
1/11/2016,IN,Hyderabad,co,10.9
1/11/2016,IN,Hyderabad,pm10,78.0
1/11/2016,IN,Hyderabad,o3,35.1
1/11/2016,IN,Hyderabad,so2,19.0
1/11/2016,IN,Hyderabad,pm25,179.0
1/11/2016,IN,Hyderabad,no2,11.6
1/12/2016,IN,Hyderabad,co,12.3
1/12/2016,IN,Hyderabad,pm10,78.3
1/12/2016,IN,Hyderabad,o3,34.8
1/12/2016,IN,Hyderabad,so2,17.7
1/12/2016,IN,Hyderabad,pm25,234.3
1/12/2016,IN,Hyderabad,no2,21.6
1/13/2016,IN,Hyderabad,co,10.5
1/13/2016,IN,Hyderabad,pm10,75.0
1/13/2016,IN,Hyderabad,o3,35.1
1/13/2016,IN,Hyderabad,so2,18.4
1/13/2016,IN,Hyderabad,pm25,227.7
1/13/2016,IN,Hyderabad,no2,13.3
1/14/2016,IN,Hyderabad,co,7.2
1/14/2016,IN,Hyderabad,pm10,71.3
1/14/2016,IN,Hyderabad,o3,36.9
1/14/2016,IN,Hyderabad,so2,17.7
1/14/2016,IN,Hyderabad,pm25,146.0
1/14/2016,IN,Hyderabad,no2,8.6
1/15/2016,IN,Hyderabad,co,6.1
1/15/2016,IN,Hyderabad,pm10,75.7
1/15/2016,IN,Hyderabad,o3,40.8
1/15/2016,IN,Hyderabad,so2,17.6
1/15/2016,IN,Hyderabad,pm25,141.0
1/15/2016,IN,Hyderabad,no2,5.8
1/16/2016,IN,Hyderabad,co,8.2
1/16/2016,IN,Hyderabad,pm10,72.3
1/16/2016,IN,Hyderabad,o3,41.5
1/16/2016,IN,Hyderabad,so2,10.1
1/16/2016,IN,Hyderabad,pm25,139.7
1/16/2016,IN,Hyderabad,no2,6.4
1/17/2016,IN,Hyderabad,co,9.7
1/17/2016,IN,Hyderabad,pm10,74.7
1/17/2016,IN,Hyderabad,o3,40.6
1/17/2016,IN,Hyderabad,so2,18.6
1/17/2016,IN,Hyderabad,pm25,145.0
