Date,Country,City,Specie,count,min,max,median,variance
1/1/2018,IN,Hyderabad,co,74,0.2,19.6,7.8,233.7
1/1/2018,IN,Hyderabad,pm10,75,29,375,81,19808.5
1/1/2018,IN,Hyderabad,pm25,109,43,199,153,17728.2
1/1/2018,IN,Hyderabad,o3,93,0.5,52.3,21.6,1455.09
1/1/2018,IN,Hyderabad,so2,88,0.5,126.2,4.9,1851.59
1/1/2018,IN,Hyderabad,no2,74,3,46.2,14.3,1373.99
1/2/2018,IN,Hyderabad,co,105,1,29,6.7,259.16
1/2/2018,IN,Hyderabad,pm10,94,62,161,86,3807.25
1/2/2018,IN,Hyderabad,pm25,140,117,182,159,1268.4
1/2/2018,IN,Hyderabad,o3,119,0.9,87.8,21.2,2736.49
1/2/2018,IN,Hyderabad,so2,120,0.9,90.6,4.9,682.81
1/2/2018,IN,Hyderabad,no2,100,4.4,67,15.8,1511.06
1/3/2018,IN,Hyderabad,co,120,0.4,21,6.2,187.74
1/3/2018,IN,Hyderabad,pm10,96,70,200,97,3531.1
1/3/2018,IN,Hyderabad,pm25,144,121,226,163,960.4
1/3/2018,IN,Hyderabad,o3,120,0.5,89.9,20.8,2415.03
1/3/2018,IN,Hyderabad,so2,120,1.3,60.1,4.5,333.39
1/3/2018,IN,Hyderabad,no2,120,5.5,63.2,16.1,1139.41
1/4/2018,IN,Hyderabad,co,100,2.2,28.2,8.2,229.79
1/4/2018,IN,Hyderabad,pm10,73,71,141,110,1740.26
1/4/2018,IN,Hyderabad,pm25,120,152,195,163,769.52
1/4/2018,IN,Hyderabad,o3,100,1.3,62.4,21.6,1994.56
1/4/2018,IN,Hyderabad,so2,100,0.9,60.6,7.8,681.41
1/4/2018,IN,Hyderabad,no2,100,5.9,81.5,23.4,2230.31
1/5/2018,IN,Hyderabad,co,107,2.8,26.8,9.4,221.8
1/5/2018,IN,Hyderabad,pm10,71,63,117,108,2155.57
1/5/2018,IN,Hyderabad,pm25,115,136,216,163,1092.86
1/5/2018,IN,Hyderabad,o3,107,0.9,100.1,23.2,3958.28
1/5/2018,IN,Hyderabad,so2,107,1.7,60.6,6.5,356.92
1/5/2018,IN,Hyderabad,no2,107,4.4,86.8,26,2428.42
1/6/2018,IN,Hyderabad,co,118,2.8,24.6,9.8,235.72
1/6/2018,IN,Hyderabad,pm10,89,60,117,106,2341.58
1/6/2018,IN,Hyderabad,pm25,133,127,247,162,1817.15
1/6/2018,IN,Hyderabad,o3,117,0.5,101.7,17.1,3875.7
1/6/2018,IN,Hyderabad,so2,116,1.3,88.1,5.7,686.61
1/6/2018,IN,Hyderabad,no2,118,5.2,89,23.8,2560.67
1/7/2018,IN,Hyderabad,co,120,1.7,21,9.6,151.22
1/7/2018,IN,Hyderabad,pm10,96,65,117,98,1945.95
1/7/2018,IN,Hyderabad,pm25,144,120,205,161,1154.58
1/7/2018,IN,Hyderabad,o3,120,0.9,71.3,20.4,2563.73
1/7/2018,IN,Hyderabad,so2,120,1.3,81.4,5.3,722.1
1/7/2018,IN,Hyderabad,no2,120,5.5,55.2,23.8,1508.51
1/8/2018,IN,Hyderabad,co,120,1.3,24.6,9.1,158.82
1/8/2018,IN,Hyderabad,pm10,96,70,116,95,1822.3
1/8/2018,IN,Hyderabad,pm25,141,121,211,162,1005.09
1/8/2018,IN,Hyderabad,o3,120,1.3,62.4,21.6,1927.54
1/8/2018,IN,Hyderabad,so2,120,0.5,80.9,4.5,537.36
1/8/2018,IN,Hyderabad,no2,120,5.2,56.8,22.4,1377.17
1/9/2018,IN,Hyderabad,co,113,2.6,29.7,8.9,241.13
1/9/2018,IN,Hyderabad,pm10,96,81,117,107,1156.37
1/9/2018,IN,Hyderabad,pm25,142,154,197,163,479.68
1/9/2018,IN,Hyderabad,o3,120,0.5,97.2,21.6,4518.95
1/9/2018,IN,Hyderabad,so2,119,0.5,98.8,5.3,918.75
1/9/2018,IN,Hyderabad,no2,120,5.5,58.4,21.6,1311.89
1/10/2018,IN,Hyderabad,co,119,3.3,21,9.1,151.45
1/10/2018,IN,Hyderabad,pm10,96,69,116,109,1591.81
1/10/2018,IN,Hyderabad,pm25,142,120,209,162,1262.07
1/10/2018,IN,Hyderabad,o3,120,0.9,74.8,22.8,2877.16
1/10/2018,IN,Hyderabad,so2,118,0.5,146.7,5.3,2658.24
1/10/2018,IN,Hyderabad,no2,120,4.8,59.5,20.2,1115.73
1/11/2018,IN,Hyderabad,co,115,2.2,28.2,9.8,230.85
