Date,Country,City,Specie,Value
1/3/2016,IN,Mumbai,pm25,169
1/3/2016,IN,Mumbai,no2,10.3
1/3/2016,IN,Mumbai,co,17.9
1/3/2016,IN,Mumbai,pm10,98
1/3/2016,IN,Mumbai,o3,17.4
1/3/2016,IN,Mumbai,so2,5.6
1/4/2016,IN,Mumbai,pm25,171
1/4/2016,IN,Mumbai,no2,9.2
1/4/2016,IN,Mumbai,co,22.4
1/4/2016,IN,Mumbai,pm10,150.3
1/4/2016,IN,Mumbai,o3,16.1
1/4/2016,IN,Mumbai,so2,9.4
1/5/2016,IN,Mumbai,pm25,183.3
1/5/2016,IN,Mumbai,no2,9.8
1/5/2016,IN,Mumbai,co,21.4
1/5/2016,IN,Mumbai,pm10,92.7
1/5/2016,IN,Mumbai,o3,99.5
1/5/2016,IN,Mumbai,so2,8.4
1/6/2016,IN,Mumbai,pm25,226
1/6/2016,IN,Mumbai,no2,1.1
1/6/2016,IN,Mumbai,co,30.1
1/6/2016,IN,Mumbai,pm10,102.3
1/6/2016,IN,Mumbai,o3,7.5
1/6/2016,IN,Mumbai,so2,9.7
1/7/2016,IN,Mumbai,pm25,210.3
1/7/2016,IN,Mumbai,no2,1.1
1/7/2016,IN,Mumbai,co,30.6
1/7/2016,IN,Mumbai,pm10,150
1/7/2016,IN,Mumbai,o3,6.3
1/7/2016,IN,Mumbai,so2,12.7
1/8/2016,IN,Mumbai,pm25,177
1/8/2016,IN,Mumbai,co,44.4
1/8/2016,IN,Mumbai,pm10,88.3
1/8/2016,IN,Mumbai,o3,11.4
1/8/2016,IN,Mumbai,so2,7.4
1/9/2016,IN,Mumbai,pm25,194.3
1/9/2016,IN,Mumbai,co,30.5
1/9/2016,IN,Mumbai,pm10,174
1/9/2016,IN,Mumbai,o3,13.3
1/9/2016,IN,Mumbai,so2,7.5
1/10/2016,IN,Mumbai,pm25,163.7
1/10/2016,IN,Mumbai,co,21.9
1/10/2016,IN,Mumbai,pm10,103.7
1/10/2016,IN,Mumbai,o3,15.3
1/10/2016,IN,Mumbai,so2,12.4
1/11/2016,IN,Mumbai,pm25,172.3
1/11/2016,IN,Mumbai,co,56.7
1/11/2016,IN,Mumbai,pm10,99.7
1/11/2016,IN,Mumbai,o3,20.4
1/11/2016,IN,Mumbai,so2,11.6
1/12/2016,IN,Mumbai,pm25,152.3
1/12/2016,IN,Mumbai,no2,1.6
1/12/2016,IN,Mumbai,co,88.1
1/12/2016,IN,Mumbai,pm10,99
1/12/2016,IN,Mumbai,o3,16.8
1/12/2016,IN,Mumbai,so2,11.8
1/13/2016,IN,Mumbai,pm25,131
1/13/2016,IN,Mumbai,no2,4.7
1/13/2016,IN,Mumbai,co,82.4
1/13/2016,IN,Mumbai,pm10,88.7
1/13/2016,IN,Mumbai,o3,15.6
1/13/2016,IN,Mumbai,so2,11.7
1/14/2016,IN,Mumbai,pm25,169.7
1/14/2016,IN,Mumbai,no2,2.9
1/14/2016,IN,Mumbai,co,79.6
1/14/2016,IN,Mumbai,pm10,102.3
1/14/2016,IN,Mumbai,o3,11.8
1/14/2016,IN,Mumbai,so2,10.2
1/15/2016,IN,Mumbai,pm25,142
1/15/2016,IN,Mumbai,no2,3.8
1/15/2016,IN,Mumbai,co,31.9
1/15/2016,IN,Mumbai,pm10,77.3
1/15/2016,IN,Mumbai,o3,14
1/15/2016,IN,Mumbai,so2,34.3
1/16/2016,IN,Mumbai,pm25,133.3
1/16/2016,IN,Mumbai,no2,3.2
1/16/2016,IN,Mumbai,co,54.4
1/16/2016,IN,Mumbai,pm10,65
1/16/2016,IN,Mumbai,o3,13.3
1/16/2016,IN,Mumbai,so2,8.8
1/17/2016,IN,Mumbai,pm25,122.3
1/17/2016,IN,Mumbai,no2,5.5
1/17/2016,IN,Mumbai,co,37.2
1/17/2016,IN,Mumbai,pm10,73
1/17/2016,IN,Mumbai,o3,13.8
1/17/2016,IN,Mumbai,so2,10.8
1/18/2016,IN,Mumbai,pm25,148
1/18/2016,IN,Mumbai,no2,5.3
1/18/2016,IN,Mumbai,co,17.7
1/18/2016,IN,Mumbai,pm10,73.3
1/18/2016,IN,Mumbai,o3,14.2
1/18/2016,IN,Mumbai,so2,10.4
1/19/2016,IN,Mumbai,pm25,121.7
1/19/2016,IN,Mumbai,no2,11.1
1/19/2016,IN,Mumbai,co,23.6
1/19/2016,IN,Mumbai,pm10,78
1/19/2016,IN,Mumbai,o3,12.9
1/19/2016,IN,Mumbai,so2,12.9
1/20/2016,IN,Mumbai,pm25,131
1/20/2016,IN,Mumbai,no2,8.3
1/20/2016,IN,Mumbai,co,17.1
1/20/2016,IN,Mumbai,pm10,113.3
1/20/2016,IN,Mumbai,o3,15.7
1/20/2016,IN,Mumbai,so2,13.3
1/21/2016,IN,Mumbai,pm25,118.3
1/21/2016,IN,Mumbai,no2,6.8
1/21/2016,IN,Mumbai,co,15.8
1/21/2016,IN,Mumbai,pm10,72.3
1/21/2016,IN,Mumbai,o3,18
1/21/2016,IN,Mumbai,so2,11.5
1/22/2016,IN,Mumbai,pm25,117.7
1/22/2016,IN,Mumbai,no2,7
1/22/2016,IN,Mumbai,co,14.6
1/22/2016,IN,Mumbai,pm10,67.7
1/22/2016,IN,Mumbai,o3,20.3
1/22/2016,IN,Mumbai,so2,10.9
1/23/2016,IN,Mumbai,pm25,142.7
1/23/2016,IN,Mumbai,no2,7.7
1/23/2016,IN,Mumbai,co,25.8
1/23/2016,IN,Mumbai,pm10,83.3
1/23/2016,IN,Mumbai,o3,19.5
1/23/2016,IN,Mumbai,so2,11.9
1/24/2016,IN,Mumbai,pm25,153.7
1/24/2016,IN,Mumbai,no2,7.4
1/24/2016,IN,Mumbai,co,21.1
1/24/2016,IN,Mumbai,pm10,86.7
1/24/2016,IN,Mumbai,o3,24.5
1/24/2016,IN,Mumbai,so2,12.8
1/25/2016,IN,Mumbai,pm25,205.3
1/25/2016,IN,Mumbai,no2,9.6
1/25/2016,IN,Mumbai,co,24.1
1/25/2016,IN,Mumbai,pm10,87
1/25/2016,IN,Mumbai,o3,17.8
1/25/2016,IN,Mumbai,so2,13.8
1/26/2016,IN,Mumbai,pm25,163.7
1/26/2016,IN,Mumbai,no2,4.9
1/26/2016,IN,Mumbai,co,51.6
1/26/2016,IN,Mumbai,pm10,91.3
1/26/2016,IN,Mumbai,o3,19.1
1/26/2016,IN,Mumbai,so2,12.3
1/27/2016,IN,Mumbai,pm25,138
1/27/2016,IN,Mumbai,no2,3
1/27/2016,IN,Mumbai,co,28.2
1/27/2016,IN,Mumbai,pm10,67.7
1/27/2016,IN,Mumbai,o3,16
1/27/2016,IN,Mumbai,so2,8.5
1/28/2016,IN,Mumbai,pm25,185.3
1/28/2016,IN,Mumbai,no2,7.5
1/28/2016,IN,Mumbai,co,22.6
1/28/2016,IN,Mumbai,pm10,108.7
1/28/2016,IN,Mumbai,o3,17
1/28/2016,IN,Mumbai,so2,13.3
1/29/2016,IN,Mumbai,pm25,160.7
1/29/2016,IN,Mumbai,no2,4.9
1/29/2016,IN,Mumbai,co,16.4
1/29/2016,IN,Mumbai,pm10,77.3
1/29/2016,IN,Mumbai,o3,15.6
1/29/2016,IN,Mumbai,so2,9.9
1/30/2016,IN,Mumbai,pm25,180.7
1/30/2016,IN,Mumbai,no2,6.3
1/30/2016,IN,Mumbai,co,16.1
1/30/2016,IN,Mumbai,pm10,109.7
