Date,Country,City,Specie,count,min,max,median,variance
1/1/2019,IN,Mumbai,humidity,92,13,87.1,46.6,3488.71
1/1/2019,IN,Mumbai,so2,72,2.5,52.1,13.5,959.85
1/1/2019,IN,Mumbai,pressure,92,1015,1019.5,1017,15.58
1/1/2019,IN,Mumbai,wind-speed,70,0,5.1,0.5,14
1/1/2019,IN,Mumbai,dew,72,4,14,10,67.17
1/1/2019,IN,Mumbai,co,72,5.5,41.2,15.4,687.99
1/1/2019,IN,Mumbai,temperature,92,13.7,33.4,24.1,279.08
1/1/2019,IN,Mumbai,pm10,72,38,269,122,23412.4
1/1/2019,IN,Mumbai,o3,48,0.6,32.8,16.1,870.55
1/1/2019,IN,Mumbai,pm25,72,124,297,169,10811.3
1/1/2019,IN,Mumbai,no2,48,9.5,70.1,38,2943.04
1/2/2019,IN,Mumbai,humidity,95,12.9,83.2,49,3004.44
1/2/2019,IN,Mumbai,so2,70,1.8,46.3,15.4,644.58
1/2/2019,IN,Mumbai,pressure,96,1014,1019,1016,15.01
1/2/2019,IN,Mumbai,wind-speed,64,0,4.6,0.4,12.63
1/2/2019,IN,Mumbai,dew,72,8,15,12,45.42
1/2/2019,IN,Mumbai,co,71,3.2,42,19.5,1086.44
1/2/2019,IN,Mumbai,temperature,95,14.1,34.5,23.7,273.56
1/2/2019,IN,Mumbai,pm10,71,54,323,132,21596.4
1/2/2019,IN,Mumbai,o3,47,0.8,46.6,19.8,1503.1
1/2/2019,IN,Mumbai,pm25,70,132,261,172,7440.55
1/2/2019,IN,Mumbai,no2,47,6.6,89.1,36,4079.21
1/3/2019,IN,Mumbai,humidity,95,15.7,85.7,56,3755.49
1/3/2019,IN,Mumbai,so2,72,3.1,50.6,15.1,690.88
1/3/2019,IN,Mumbai,pressure,96,1015,1020,1017,17.82
1/3/2019,IN,Mumbai,wind-speed,64,0,4.1,0.5,9.83
1/3/2019,IN,Mumbai,dew,72,8,15.5,13,43.5
1/3/2019,IN,Mumbai,co,72,4.1,51.4,26.6,1359.9
1/3/2019,IN,Mumbai,temperature,95,15,34.2,24.1,257.52
1/3/2019,IN,Mumbai,pm10,72,79,881,155,186363
1/3/2019,IN,Mumbai,o3,48,0.1,43.8,24.4,1897.8
1/3/2019,IN,Mumbai,pm25,72,149,323,183,16864.3
1/3/2019,IN,Mumbai,no2,48,12.7,84.5,32.4,4264.54
1/4/2019,IN,Mumbai,humidity,85,16.2,84.6,48.4,3149.12
1/4/2019,IN,Mumbai,so2,59,2.8,53.5,12.4,920.86
1/4/2019,IN,Mumbai,pressure,96,1014,1018,1016,14.65
1/4/2019,IN,Mumbai,wind-speed,67,0,4.8,0.5,14.16
1/4/2019,IN,Mumbai,dew,72,8,15,11,40.97
1/4/2019,IN,Mumbai,co,59,3.1,56,22.5,1583.44
1/4/2019,IN,Mumbai,temperature,85,15.5,36,24.9,272.51
1/4/2019,IN,Mumbai,pm10,58,45,313,136,33955
1/4/2019,IN,Mumbai,o3,47,0.2,36.3,22.4,1689.52
1/4/2019,IN,Mumbai,pm25,71,143,297,176,9745.65
1/4/2019,IN,Mumbai,no2,47,14.1,87,32.1,3726.18
1/5/2019,IN,Mumbai,humidity,94,15,86.7,53.2,2374.46
1/5/2019,IN,Mumbai,so2,70,2.1,52.4,13.2,867.86
1/5/2019,IN,Mumbai,pressure,96,1013,1017,1014.5,14.29
1/5/2019,IN,Mumbai,wind-speed,68,0,4.1,0.5,13.51
1/5/2019,IN,Mumbai,dew,72,11,15.5,12.5,17
1/5/2019,IN,Mumbai,co,70,2.9,38.2,26.1,1030.22
1/5/2019,IN,Mumbai,temperature,94,15.2,33.4,23.1,205.74
1/5/2019,IN,Mumbai,pm10,70,34,866,136,175516
1/5/2019,IN,Mumbai,o3,48,0.5,41.2,24.6,1629.03
1/5/2019,IN,Mumbai,pm25,72,127,239,171,4505.34
1/5/2019,IN,Mumbai,no2,48,11.6,95.6,37.6,4920.55
1/6/2019,IN,Mumbai,humidity,91,19.6,90.3,55.2,3873.5
1/6/2019,IN,Mumbai,so2,67,1.6,48.3,16.1,1207.21
1/6/2019,IN,Mumbai,pressure,96,1012,1016,1014,13.44
1/6/2019,IN,Mumbai,wind-speed,64,0,5.6,0.5,16.49
1/6/2019,IN,Mumbai,dew,72,10,16,14,28.15
1/6/2019,IN,Mumbai,co,67,4.6,33.4,17.2,520.4
1/6/2019,IN,Mumbai,temperature,91,14.7,33,23.6,236.97
1/6/2019,IN,Mumbai,pm10,67,67,233,122,19255.2
1/6/2019,IN,Mumbai,o3,43,0.3,29,20.5,1236.71
1/6/2019,IN,Mumbai,pm25,67,82,315,175,19039.2
1/6/2019,IN,Mumbai,no2,43,12.1,90,31.5,4515.96
1/7/2019,IN,Mumbai,humidity,94,16.4,70.1,42,1898.29
1/7/2019,IN,Mumbai,so2,69,6.6,43.9,17.5,711.91
1/7/2019,IN,Mumbai,pressure,96,1011.5,1016,1013.5,10.35
1/7/2019,IN,Mumbai,wind-speed,69,0,4.6,0.7,15.75
1/7/2019,IN,Mumbai,dew,72,7,15,11.5,73.08
1/7/2019,IN,Mumbai,co,70,4.6,29.6,17.1,306.29
1/7/2019,IN,Mumbai,temperature,94,17.6,33.4,24.7,184.38
1/7/2019,IN,Mumbai,pm10,70,59,221,102,7895.91
1/7/2019,IN,Mumbai,o3,46,0.4,24.5,16,753.05
1/7/2019,IN,Mumbai,pm25,70,99,195,153,3889.04
1/7/2019,IN,Mumbai,no2,48,14.6,73.4,28,2115.66
1/8/2019,IN,Mumbai,humidity,91,14.4,71.5,37.5,1612.54
1/8/2019,IN,Mumbai,so2,68,4.6,59.4,17.9,847.02
1/8/2019,IN,Mumbai,pressure,96,1012,1016,1014,13.71
1/8/2019,IN,Mumbai,wind-speed,64,0,5.4,0.5,17.68
1/8/2019,IN,Mumbai,dew,72,5.5,13,11,84.7
1/8/2019,IN,Mumbai,co,68,3.6,49.4,17.5,827.87
1/8/2019,IN,Mumbai,temperature,91,15.3,33.7,24.6,186.58
1/8/2019,IN,Mumbai,pm10,60,52,200,102,10292
1/8/2019,IN,Mumbai,o3,44,0.5,58.8,15.4,2410.33
1/8/2019,IN,Mumbai,pm25,68,105,202,161,5629.08
1/8/2019,IN,Mumbai,no2,44,10.4,74.9,29.1,2860.84
1/9/2019,IN,Mumbai,humidity,85,15,78.4,49,2251.58
1/9/2019,IN,Mumbai,so2,59,2.7,50.6,16.4,528.11
1/9/2019,IN,Mumbai,pressure,96,1011.5,1016,1013,13.84
1/9/2019,IN,Mumbai,wind-speed,59,0,4.1,0.7,13.09
1/9/2019,IN,Mumbai,dew,72,8,16.5,11.5,50.14
1/9/2019,IN,Mumbai,co,59,3.7,37.8,17.5,514.79
1/9/2019,IN,Mumbai,temperature,85,17.1,33.5,24.1,186.15
