Date,Country,City,Specie,Value
4/4/2016,IN,Nagpur,no2,52.6
4/4/2016,IN,Nagpur,co,12.1
4/4/2016,IN,Nagpur,pm10,94.7
4/4/2016,IN,Nagpur,o3,17.5
4/4/2016,IN,Nagpur,so2,8.3
4/5/2016,IN,Nagpur,no2,27.7
4/5/2016,IN,Nagpur,co,6.3
4/5/2016,IN,Nagpur,pm10,75.3
4/5/2016,IN,Nagpur,o3,17.1
4/5/2016,IN,Nagpur,so2,10.6
4/25/2016,IN,Nagpur,no2,30.7
4/25/2016,IN,Nagpur,co,6.6
4/25/2016,IN,Nagpur,pm10,64.3
4/25/2016,IN,Nagpur,o3,17.0
4/25/2016,IN,Nagpur,so2,5.6
4/26/2016,IN,Nagpur,no2,45.1
4/26/2016,IN,Nagpur,co,13.5
4/26/2016,IN,Nagpur,pm10,68.0
4/26/2016,IN,Nagpur,o3,20.3
4/26/2016,IN,Nagpur,so2,7.9
4/27/2016,IN,Nagpur,no2,50.4
4/27/2016,IN,Nagpur,co,17.1
4/27/2016,IN,Nagpur,pm10,81.7
4/27/2016,IN,Nagpur,o3,19.6
4/27/2016,IN,Nagpur,so2,10.4
4/28/2016,IN,Nagpur,no2,42.7
4/28/2016,IN,Nagpur,co,9.8
4/28/2016,IN,Nagpur,pm10,68.7
4/28/2016,IN,Nagpur,o3,20.5
4/28/2016,IN,Nagpur,so2,11.3
4/29/2016,IN,Nagpur,no2,48.5
4/29/2016,IN,Nagpur,co,19.6
4/29/2016,IN,Nagpur,pm10,65.7
4/29/2016,IN,Nagpur,o3,15.5
4/29/2016,IN,Nagpur,so2,12.2
4/30/2016,IN,Nagpur,no2,43.7
4/30/2016,IN,Nagpur,co,11.4
4/30/2016,IN,Nagpur,pm10,68.7
4/30/2016,IN,Nagpur,o3,17.3
4/30/2016,IN,Nagpur,so2,6.3
5/1/2016,IN,Nagpur,no2,35.6
5/1/2016,IN,Nagpur,co,6.3
5/1/2016,IN,Nagpur,pm10,67.7
5/1/2016,IN,Nagpur,o3,15.4
5/1/2016,IN,Nagpur,so2,6.3
5/2/2016,IN,Nagpur,no2,49.1
5/2/2016,IN,Nagpur,co,11.0
5/2/2016,IN,Nagpur,pm10,66.3
5/2/2016,IN,Nagpur,o3,12.9
5/2/2016,IN,Nagpur,so2,6.5
5/3/2016,IN,Nagpur,no2,52.5
5/3/2016,IN,Nagpur,co,15.0
5/3/2016,IN,Nagpur,pm10,67.0
5/3/2016,IN,Nagpur,o3,18.2
5/3/2016,IN,Nagpur,so2,10.3
5/4/2016,IN,Nagpur,no2,21.6
5/4/2016,IN,Nagpur,co,4.1
5/4/2016,IN,Nagpur,pm10,48.0
5/4/2016,IN,Nagpur,o3,21.7
5/4/2016,IN,Nagpur,so2,14.0
5/5/2016,IN,Nagpur,no2,26.8
5/5/2016,IN,Nagpur,co,5.5
5/5/2016,IN,Nagpur,pm10,40.3
5/5/2016,IN,Nagpur,o3,18.7
5/5/2016,IN,Nagpur,so2,14.0
5/6/2016,IN,Nagpur,no2,23.5
5/6/2016,IN,Nagpur,co,4.7
5/6/2016,IN,Nagpur,pm10,27.3
5/6/2016,IN,Nagpur,o3,20.9
5/6/2016,IN,Nagpur,so2,18.0
5/7/2016,IN,Nagpur,no2,36.8
5/7/2016,IN,Nagpur,co,7.9
5/7/2016,IN,Nagpur,pm10,38.7
5/7/2016,IN,Nagpur,o3,18.8
5/7/2016,IN,Nagpur,so2,10.3
5/8/2016,IN,Nagpur,no2,41.9
5/8/2016,IN,Nagpur,co,10.5
5/8/2016,IN,Nagpur,pm10,50.0
5/8/2016,IN,Nagpur,o3,20.0
5/8/2016,IN,Nagpur,so2,20.7
5/9/2016,IN,Nagpur,no2,29.2
5/9/2016,IN,Nagpur,co,20.5
5/9/2016,IN,Nagpur,pm10,39.3
5/9/2016,IN,Nagpur,o3,37.5
5/9/2016,IN,Nagpur,so2,18.6
5/10/2016,IN,Nagpur,no2,45.0
5/10/2016,IN,Nagpur,co,17.9
5/10/2016,IN,Nagpur,pm10,42.3
5/10/2016,IN,Nagpur,o3,37.4
5/10/2016,IN,Nagpur,so2,5.3
5/11/2016,IN,Nagpur,no2,45.8
5/11/2016,IN,Nagpur,co,14.2
5/11/2016,IN,Nagpur,pm10,60.0
5/11/2016,IN,Nagpur,o3,37.2
5/11/2016,IN,Nagpur,so2,5.5
5/12/2016,IN,Nagpur,no2,45.0
5/12/2016,IN,Nagpur,co,16.4
5/12/2016,IN,Nagpur,pm10,70.7
5/12/2016,IN,Nagpur,o3,35.9
5/12/2016,IN,Nagpur,so2,6.5
5/13/2016,IN,Nagpur,no2,45.3
5/13/2016,IN,Nagpur,co,16.8
5/13/2016,IN,Nagpur,pm10,68.3
5/13/2016,IN,Nagpur,o3,25.2
5/13/2016,IN,Nagpur,so2,17.4
5/14/2016,IN,Nagpur,no2,46.8
5/14/2016,IN,Nagpur,co,16.2
5/14/2016,IN,Nagpur,pm10,84.3
5/14/2016,IN,Nagpur,o3,30.1
5/14/2016,IN,Nagpur,so2,23.9
5/15/2016,IN,Nagpur,no2,41.4
5/15/2016,IN,Nagpur,co,13.6
5/15/2016,IN,Nagpur,pm10,70.7
5/15/2016,IN,Nagpur,o3,36.4
5/15/2016,IN,Nagpur,so2,13.0
5/16/2016,IN,Nagpur,no2,43.6
5/16/2016,IN,Nagpur,co,11.7
5/16/2016,IN,Nagpur,pm10,58.0
5/16/2016,IN,Nagpur,o3,31.0
5/16/2016,IN,Nagpur,so2,13.6
5/17/2016,IN,Nagpur,no2,42.9
5/17/2016,IN,Nagpur,co,15.8
5/17/2016,IN,Nagpur,pm10,62.7
5/17/2016,IN,Nagpur,o3,24.0
5/17/2016,IN,Nagpur,so2,22.3
5/18/2016,IN,Nagpur,no2,20.4
5/18/2016,IN,Nagpur,co,6.7
5/18/2016,IN,Nagpur,pm10,59.7
5/18/2016,IN,Nagpur,o3,49.4
5/18/2016,IN,Nagpur,so2,21.7
5/19/2016,IN,Nagpur,no2,41.2
5/19/2016,IN,Nagpur,co,15.8
5/19/2016,IN,Nagpur,pm10,44.3
5/19/2016,IN,Nagpur,o3,38.2
5/19/2016,IN,Nagpur,so2,8.8
5/20/2016,IN,Nagpur,no2,46.4
5/20/2016,IN,Nagpur,co,19.4
5/20/2016,IN,Nagpur,pm10,56.0
5/20/2016,IN,Nagpur,o3,37.3
5/20/2016,IN,Nagpur,so2,14.8
5/21/2016,IN,Nagpur,no2,14.3
5/21/2016,IN,Nagpur,co,4.8
5/21/2016,IN,Nagpur,pm10,74.0
5/21/2016,IN,Nagpur,o3,31.5
5/21/2016,IN,Nagpur,so2,6.0
5/22/2016,IN,Nagpur,no2,24.2
5/22/2016,IN,Nagpur,co,6.9
5/22/2016,IN,Nagpur,pm10,60.0
5/22/2016,IN,Nagpur,o3,20.6
5/22/2016,IN,Nagpur,so2,4.8
5/23/2016,IN,Nagpur,no2,16.3
5/23/2016,IN,Nagpur,co,4.6
5/23/2016,IN,Nagpur,pm10,61.0
5/23/2016,IN,Nagpur,o3,20.8
5/23/2016,IN,Nagpur,so2,1.8
5/24/2016,IN,Nagpur,no2,15.3
5/24/2016,IN,Nagpur,co,5.7
5/24/2016,IN,Nagpur,pm10,62.7
5/24/2016,IN,Nagpur,o3,20.6
5/24/2016,IN,Nagpur,so2,1.7
5/25/2016,IN,Nagpur,no2,14.2
5/25/2016,IN,Nagpur,co,3.9
5/25/2016,IN,Nagpur,pm10,59.3
5/25/2016,IN,Nagpur,o3,23.2
5/25/2016,IN,Nagpur,so2,1.4
5/26/2016,IN,Nagpur,no2,27.2
5/26/2016,IN,Nagpur,co,7.8
5/26/2016,IN,Nagpur,pm10,54.0
5/26/2016,IN,Nagpur,o3,18.3
5/26/2016,IN,Nagpur,so2,7.2
5/27/2016,IN,Nagpur,no2,14.9
5/27/2016,IN,Nagpur,co,4.5
5/27/2016,IN,Nagpur,pm10,55.3
