Date,Country,City,Specie,Value
1/1/2017,IN,Nagpur,pm25,187
1/1/2017,IN,Nagpur,no2,11.7
1/1/2017,IN,Nagpur,co,11.2
1/1/2017,IN,Nagpur,pm10,108
1/1/2017,IN,Nagpur,o3,2.1
1/1/2017,IN,Nagpur,so2,3.7
1/2/2017,IN,Nagpur,pm25,159
1/2/2017,IN,Nagpur,no2,8.8
1/2/2017,IN,Nagpur,co,9.1
1/2/2017,IN,Nagpur,pm10,74
1/2/2017,IN,Nagpur,o3,34.6
1/2/2017,IN,Nagpur,so2,2.3
1/3/2017,IN,Nagpur,pm25,167
1/3/2017,IN,Nagpur,no2,7.7
1/3/2017,IN,Nagpur,co,10.9
1/3/2017,IN,Nagpur,pm10,85
1/3/2017,IN,Nagpur,o3,27.7
1/3/2017,IN,Nagpur,so2,3.2
1/4/2017,IN,Nagpur,pm25,178
1/4/2017,IN,Nagpur,no2,12.1
1/4/2017,IN,Nagpur,co,13.8
1/4/2017,IN,Nagpur,pm10,97
1/4/2017,IN,Nagpur,o3,8.2
1/4/2017,IN,Nagpur,so2,4.6
1/5/2017,IN,Nagpur,pm25,181
1/5/2017,IN,Nagpur,no2,14.3
1/5/2017,IN,Nagpur,co,16.1
1/5/2017,IN,Nagpur,pm10,98
1/5/2017,IN,Nagpur,o3,3.3
1/5/2017,IN,Nagpur,so2,5.3
1/6/2017,IN,Nagpur,pm25,186
1/6/2017,IN,Nagpur,no2,17.2
1/6/2017,IN,Nagpur,co,17.9
1/6/2017,IN,Nagpur,pm10,114
1/6/2017,IN,Nagpur,o3,4.5
1/6/2017,IN,Nagpur,so2,8.4
1/7/2017,IN,Nagpur,pm25,171
1/7/2017,IN,Nagpur,no2,18.7
1/7/2017,IN,Nagpur,co,14.1
1/7/2017,IN,Nagpur,pm10,91
1/7/2017,IN,Nagpur,o3,5.1
1/7/2017,IN,Nagpur,so2,5.1
1/8/2017,IN,Nagpur,pm25,168
1/8/2017,IN,Nagpur,no2,10.7
1/8/2017,IN,Nagpur,co,11.6
1/8/2017,IN,Nagpur,pm10,88
1/8/2017,IN,Nagpur,o3,6.5
1/8/2017,IN,Nagpur,so2,3.3
1/9/2017,IN,Nagpur,pm25,172
1/9/2017,IN,Nagpur,no2,15
1/9/2017,IN,Nagpur,co,17.9
1/9/2017,IN,Nagpur,pm10,93
1/9/2017,IN,Nagpur,o3,6.5
1/9/2017,IN,Nagpur,so2,3.3
1/10/2017,IN,Nagpur,pm25,172
1/10/2017,IN,Nagpur,no2,9.9
1/10/2017,IN,Nagpur,co,11.6
1/10/2017,IN,Nagpur,pm10,89
1/10/2017,IN,Nagpur,o3,19.9
1/10/2017,IN,Nagpur,so2,4.1
1/11/2017,IN,Nagpur,pm25,162
1/11/2017,IN,Nagpur,no2,9.3
1/11/2017,IN,Nagpur,co,9.8
1/11/2017,IN,Nagpur,pm10,81
1/11/2017,IN,Nagpur,o3,23.6
1/11/2017,IN,Nagpur,so2,4.4
1/12/2017,IN,Nagpur,pm25,156
1/12/2017,IN,Nagpur,no2,11.4
1/12/2017,IN,Nagpur,co,9.1
1/12/2017,IN,Nagpur,pm10,71
1/12/2017,IN,Nagpur,o3,32.2
1/12/2017,IN,Nagpur,so2,5.3
1/13/2017,IN,Nagpur,pm25,152
1/13/2017,IN,Nagpur,no2,13.1
1/13/2017,IN,Nagpur,co,10.7
1/13/2017,IN,Nagpur,pm10,70
1/13/2017,IN,Nagpur,o3,20.9
1/13/2017,IN,Nagpur,so2,6.9
1/14/2017,IN,Nagpur,pm25,141
1/14/2017,IN,Nagpur,no2,8.5
1/14/2017,IN,Nagpur,co,6.9
1/14/2017,IN,Nagpur,pm10,64
1/14/2017,IN,Nagpur,o3,30.5
1/14/2017,IN,Nagpur,so2,6.5
1/15/2017,IN,Nagpur,pm25,170
1/15/2017,IN,Nagpur,no2,10.7
1/15/2017,IN,Nagpur,co,10.3
1/15/2017,IN,Nagpur,pm10,91
1/15/2017,IN,Nagpur,o3,12.1
1/15/2017,IN,Nagpur,so2,5.7
1/16/2017,IN,Nagpur,pm25,184
1/16/2017,IN,Nagpur,no2,17.2
1/16/2017,IN,Nagpur,co,17.7
1/16/2017,IN,Nagpur,pm10,110
1/16/2017,IN,Nagpur,o3,10.4
1/16/2017,IN,Nagpur,so2,5.7
1/17/2017,IN,Nagpur,pm25,181
1/17/2017,IN,Nagpur,no2,20.6
1/17/2017,IN,Nagpur,co,19.6
1/17/2017,IN,Nagpur,pm10,107
1/17/2017,IN,Nagpur,o3,4.4
1/17/2017,IN,Nagpur,so2,9.6
1/18/2017,IN,Nagpur,pm25,179
1/18/2017,IN,Nagpur,no2,16.1
1/18/2017,IN,Nagpur,co,16.6
1/18/2017,IN,Nagpur,pm10,95
1/18/2017,IN,Nagpur,o3,12.6
1/18/2017,IN,Nagpur,so2,6.9
1/19/2017,IN,Nagpur,pm25,192
1/19/2017,IN,Nagpur,no2,14.7
1/19/2017,IN,Nagpur,co,17.4
1/19/2017,IN,Nagpur,pm10,99
1/19/2017,IN,Nagpur,o3,7.3
1/19/2017,IN,Nagpur,so2,4.9
1/20/2017,IN,Nagpur,pm25,188
1/20/2017,IN,Nagpur,no2,12
1/20/2017,IN,Nagpur,co,12.7
1/20/2017,IN,Nagpur,pm10,109
1/20/2017,IN,Nagpur,o3,19.5
1/20/2017,IN,Nagpur,so2,6.1
1/21/2017,IN,Nagpur,pm25,184
1/21/2017,IN,Nagpur,no2,8.1
1/21/2017,IN,Nagpur,co,13.4
1/21/2017,IN,Nagpur,pm10,104
1/21/2017,IN,Nagpur,o3,15.1
1/21/2017,IN,Nagpur,so2,8.6
1/22/2017,IN,Nagpur,pm25,175
